Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,201.985,8.186,189.000,256.000,7.605
Pipelined Paard,768,3072,193.850,6.788,184.000,230.000,15.847
Pipelined Paard,1536,6144,190.660,11.636,184.000,349.000,32.225
Pipelined Paard,3072,12288,204.320,146.969,185.000,2276.000,60.141
Pipelined Paard,6144,24576,198.505,36.168,186.000,703.000,123.805
Pipelined Paard,12288,49152,204.700,5.964,195.000,248.000,240.117
Pipelined Paard,24576,98304,232.385,127.741,214.000,1987.000,423.022
Pipelined Paard,49152,196608,251.365,5.967,244.000,266.000,782.161
Pipelined Paard,98304,393216,319.685,129.065,293.000,2097.000,1230.011
Pipelined Paard,196608,786432,349.250,15.187,328.000,391.000,2251.774
Pipelined Paard,393216,1572864,395.635,20.828,365.000,525.000,3975.543
Pipelined Paard,786432,3145728,1567.880,1829.243,779.000,14389.000,2006.358
Pipelined Paard,1572864,6291456,1276.435,868.295,999.000,7188.000,4928.928
Pipelined Paard,3145728,12582912,2614.055,2512.051,1780.000,18064.000,4813.561
Pipelined Paard,6291456,25165824,4682.030,3421.076,2793.000,15879.000,5374.981
Pipelined Paard,12582912,50331648,8274.450,4539.776,4876.000,28775.000,6082.779
Pipelined Paard,25165824,100663296,12905.480,4472.504,8977.000,29050.000,7800.043
Pipelined Paard,50331648,201326592,22473.780,4507.021,17437.000,40979.000,8958.288
Pipelined Paard,100663296,402653184,39643.760,4515.973,34452.000,63415.000,10156.786
Pipelined Paard,201326592,805306368,74426.200,5854.556,68913.000,107598.000,10820.200
Pipelined Paard,402653184,1610612736,142753.715,5607.234,136634.000,181635.000,11282.458
Pipelined Paard,805306368,3221225472,282339.940,5724.726,273599.000,309362.000,11409.032
Pipelined Paard,1610612736,6442450944,559566.080,7589.117,546756.000,623601.000,11513.298
Classic Paard,384,1536,146.160,3.930,142.000,166.000,10.509
Classic Paard,768,3072,145.695,3.700,142.000,157.000,21.085
Classic Paard,1536,6144,147.615,4.104,144.000,164.000,41.622
Classic Paard,3072,12288,147.915,3.036,144.000,171.000,83.075
Classic Paard,6144,24576,152.730,5.200,146.000,168.000,160.911
Classic Paard,12288,49152,158.790,5.048,151.000,175.000,309.541
Classic Paard,24576,98304,176.980,5.329,168.000,198.000,555.453
Classic Paard,49152,196608,203.675,4.856,194.000,219.000,965.303
Classic Paard,98304,393216,234.560,12.035,221.000,335.000,1676.398
Classic Paard,196608,786432,258.380,10.170,242.000,309.000,3043.703
Classic Paard,393216,1572864,321.900,21.456,296.000,488.000,4886.188
Classic Paard,786432,3145728,1871.010,2033.911,696.000,14598.000,1681.299
Classic Paard,1572864,6291456,2134.000,2062.379,939.000,12399.000,2948.199
Classic Paard,3145728,12582912,2817.530,1918.482,1440.000,12480.000,4465.937
Classic Paard,6291456,25165824,3457.905,2676.382,2454.000,33145.000,7277.766
Classic Paard,12582912,50331648,6721.820,2927.472,4545.000,25156.000,7487.801
Classic Paard,25165824,100663296,10423.855,2787.005,8707.000,26603.000,9657.012
Classic Paard,50331648,201326592,19964.590,3283.875,17183.000,37442.000,10084.184
Classic Paard,100663296,402653184,37786.090,3708.260,34461.000,58064.000,10656.122
Classic Paard,201326592,805306368,71834.160,3453.039,68510.000,98565.000,11210.632
Classic Paard,402653184,1610612736,140969.945,3913.230,137118.000,165052.000,11425.221
Classic Paard,805306368,3221225472,278916.885,3898.351,274445.000,305769.000,11549.052
Classic Paard,1610612736,6442450944,552595.290,3526.836,546477.000,569872.000,11658.534
Pipelined Ring,384,1536,554.555,10.103,543.000,679.000,2.770
Pipelined Ring,768,3072,554.430,7.900,540.000,591.000,5.541
Pipelined Ring,1536,6144,553.955,4.914,546.000,578.000,11.091
Pipelined Ring,3072,12288,555.935,5.115,546.000,581.000,22.103
Pipelined Ring,6144,24576,558.500,5.132,549.000,584.000,44.004
Pipelined Ring,12288,49152,567.045,5.655,557.000,591.000,86.681
Pipelined Ring,24576,98304,575.810,8.935,565.000,663.000,170.723
Pipelined Ring,49152,196608,603.720,7.546,589.000,630.000,325.661
Pipelined Ring,98304,393216,652.895,6.046,644.000,680.000,602.265
Pipelined Ring,196608,786432,724.355,24.214,710.000,968.000,1085.700
Pipelined Ring,393216,1572864,867.145,14.302,852.000,992.000,1813.842
Pipelined Ring,786432,3145728,2111.795,2009.033,1277.000,16418.000,1489.599
