Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,stack_comm_us,stack_compute_us,throughput
Pipelined Paard,384,1536,206.315,4.018,199.000,222.000,0.000,0.000,7.445
Pipelined Paard,768,3072,203.945,4.167,196.000,221.000,0.000,0.000,15.063
Pipelined Paard,1536,6144,205.155,10.684,198.000,344.000,0.000,0.000,29.948
Pipelined Paard,3072,12288,210.135,38.011,199.000,721.000,0.000,0.000,58.477
Pipelined Paard,6144,24576,209.065,3.810,202.000,221.000,0.000,0.000,117.552
Pipelined Paard,12288,49152,218.735,10.774,210.000,361.000,0.000,0.000,224.710
Pipelined Paard,24576,98304,237.445,6.870,228.000,278.000,0.000,0.000,414.007
Pipelined Paard,49152,196608,267.540,11.895,257.000,410.000,0.000,0.000,734.873
Pipelined Paard,98304,393216,322.765,16.737,301.000,431.000,0.000,0.000,1218.273
Pipelined Paard,196608,786432,369.265,17.042,342.000,436.000,0.000,0.000,2129.723
Pipelined Paard,393216,1572864,414.395,29.160,380.000,606.000,0.000,0.000,3795.567
Pipelined Paard,786432,3145728,1447.490,1652.275,784.000,13501.000,0.000,0.000,2173.230
Pipelined Paard,1572864,6291456,2056.880,2553.633,1015.000,19765.000,0.000,0.000,3058.738
Pipelined Paard,3145728,12582912,3844.470,3682.306,1805.000,19501.000,0.000,0.000,3272.990
Pipelined Paard,6291456,25165824,4739.610,3930.097,2794.000,26143.000,0.000,0.000,5309.682
Pipelined Paard,12582912,50331648,7865.610,4559.008,4872.000,36196.000,0.000,0.000,6398.950
Pipelined Paard,25165824,100663296,13319.175,5031.307,9064.000,33850.000,0.000,0.000,7557.773
Pipelined Paard,50331648,201326592,22011.330,5205.455,17439.000,40791.000,0.000,0.000,9146.498
Pipelined Paard,100663296,402653184,40737.985,5991.602,34115.000,66958.000,0.000,0.000,9883.974
Pipelined Paard,201326592,805306368,76674.560,6740.032,69510.000,121021.000,0.000,0.000,10502.915
Pipelined Paard,402653184,1610612736,142988.670,5650.105,137026.000,181054.000,0.000,0.000,11263.919
Pipelined Paard,805306368,3221225472,281260.975,4160.446,275169.000,308141.000,0.000,0.000,11452.799
Pipelined Paard,1610612736,6442450944,561709.345,5939.907,548904.000,596960.000,0.000,0.000,11469.368
Classic Paard,384,1536,155.880,2.950,153.000,166.000,0.000,0.000,9.854
Classic Paard,768,3072,156.045,2.912,152.000,166.000,0.000,0.000,19.687
Classic Paard,1536,6144,156.615,3.370,151.000,172.000,0.000,0.000,39.230
Classic Paard,3072,12288,157.825,3.884,153.000,180.000,0.000,0.000,77.858
Classic Paard,6144,24576,162.475,3.557,156.000,175.000,0.000,0.000,151.260
Classic Paard,12288,49152,168.140,5.098,162.000,198.000,0.000,0.000,292.328
Classic Paard,24576,98304,188.550,5.731,182.000,241.000,0.000,0.000,521.368
Classic Paard,49152,196608,212.970,5.317,204.000,240.000,0.000,0.000,923.172
Classic Paard,98304,393216,239.565,7.389,230.000,271.000,0.000,0.000,1641.375
Classic Paard,196608,786432,267.770,8.583,251.000,298.000,0.000,0.000,2936.968
Classic Paard,393216,1572864,332.815,20.033,306.000,439.000,0.000,0.000,4725.941
Classic Paard,786432,3145728,1804.545,2080.560,704.000,17532.000,0.000,0.000,1743.225
Classic Paard,1572864,6291456,2055.425,2237.463,947.000,17878.000,0.000,0.000,3060.903
Classic Paard,3145728,12582912,3122.095,2672.718,1461.000,21039.000,0.000,0.000,4030.278
Classic Paard,6291456,25165824,4114.800,2889.441,2481.000,26227.000,0.000,0.000,6115.929
Classic Paard,12582912,50331648,6904.475,2902.137,4558.000,27500.000,0.000,0.000,7289.714
Classic Paard,25165824,100663296,11030.810,2536.693,8718.000,23342.000,0.000,0.000,9125.649
Classic Paard,50331648,201326592,20151.920,3125.551,17203.000,39193.000,0.000,0.000,9990.442
Classic Paard,100663296,402653184,38002.990,2988.184,34503.000,51015.000,0.000,0.000,10595.303
Classic Paard,201326592,805306368,72810.085,3593.317,68830.000,104235.000,0.000,0.000,11060.368
Classic Paard,402653184,1610612736,141613.440,3233.312,138112.000,155557.000,0.000,0.000,11373.304
Classic Paard,805306368,3221225472,280386.435,3422.141,275336.000,295839.000,0.000,0.000,11488.521
Classic Paard,1610612736,6442450944,555405.425,3642.413,548854.000,570819.000,0.000,0.000,11599.546
Pipelined Ring,384,1536,803.095,10.423,789.000,855.000,478.922,118.937,1.913
Pipelined Ring,768,3072,821.290,25.352,791.000,942.000,501.384,98.479,3.740
Pipelined Ring,1536,6144,809.130,15.962,790.000,886.000,500.840,114.578,7.593
Pipelined Ring,3072,12288,818.845,24.719,792.000,941.000,494.718,103.198,15.007
Pipelined Ring,6144,24576,818.490,20.550,790.000,889.000,497.553,113.391,30.026
Pipelined Ring,12288,49152,821.005,17.457,796.000,882.000,515.751,112.648,59.868
Pipelined Ring,24576,98304,839.100,27.765,801.000,956.000,526.767,115.193,117.154
Pipelined Ring,49152,196608,862.145,31.024,817.000,1040.000,547.286,92.880,228.045
Pipelined Ring,98304,393216,922.110,11.215,908.000,1029.000,601.930,111.018,426.431
