Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,186.545,3.689,179.000,200.000,8.234
Pipelined Paard,768,3072,193.425,142.225,178.000,2199.000,15.882
Pipelined Paard,1536,6144,184.555,15.503,177.000,340.000,33.291
Pipelined Paard,3072,12288,185.525,3.036,179.000,198.000,66.234
Pipelined Paard,6144,24576,189.730,15.788,183.000,407.000,129.531
Pipelined Paard,12288,49152,201.255,32.203,193.000,576.000,244.227
Pipelined Paard,24576,98304,214.985,3.242,210.000,230.000,457.260
Pipelined Paard,49152,196608,246.765,6.964,238.000,311.000,796.742
Pipelined Paard,98304,393216,291.290,11.936,276.000,396.000,1349.912
Pipelined Paard,196608,786432,332.980,12.543,313.000,369.000,2361.800
Pipelined Paard,393216,1572864,385.435,27.684,349.000,544.000,4080.750
Pipelined Paard,786432,3145728,1867.245,3094.921,753.000,25916.000,1684.689
Pipelined Paard,1572864,6291456,1807.425,1872.154,985.000,13775.000,3480.895
Pipelined Paard,3145728,12582912,3616.840,3492.443,1713.000,19086.000,3478.979
Pipelined Paard,6291456,25165824,4390.580,3355.753,2668.000,24735.000,5731.777
Pipelined Paard,12582912,50331648,7441.160,4627.181,4646.000,26256.000,6763.952
Pipelined Paard,25165824,100663296,13894.295,5499.609,8641.000,47010.000,7244.937
Pipelined Paard,50331648,201326592,20943.750,5178.460,16522.000,46168.000,9612.729
Pipelined Paard,100663296,402653184,38452.550,5101.527,32779.000,61027.000,10471.430
Pipelined Paard,201326592,805306368,72038.810,4609.780,65741.000,90888.000,11178.785
Pipelined Paard,402653184,1610612736,137315.690,5440.068,131234.000,152608.000,11729.270
Pipelined Paard,805306368,3221225472,270796.445,7921.138,262377.000,305016.000,11895.376
Pipelined Paard,1610612736,6442450944,531148.430,6013.761,523113.000,550505.000,12129.285
Classic Paard,384,1536,132.100,2.321,129.000,142.000,11.628
Classic Paard,768,3072,132.225,1.782,129.000,140.000,23.233
Classic Paard,1536,6144,132.845,1.962,130.000,142.000,46.249
Classic Paard,3072,12288,135.035,1.901,132.000,145.000,90.999
Classic Paard,6144,24576,140.070,2.892,136.000,163.000,175.455
Classic Paard,12288,49152,147.715,2.505,144.000,170.000,332.749
Classic Paard,24576,98304,160.700,2.020,157.000,168.000,611.724
Classic Paard,49152,196608,189.010,3.449,183.000,203.000,1040.199
Classic Paard,98304,393216,218.715,5.185,210.000,238.000,1797.847
Classic Paard,196608,786432,243.130,7.784,231.000,276.000,3234.615
Classic Paard,393216,1572864,299.350,11.785,283.000,352.000,5254.264
Classic Paard,786432,3145728,1813.945,1961.779,665.000,12870.000,1734.191
Classic Paard,1572864,6291456,2159.730,2047.517,890.000,13043.000,2913.075
Classic Paard,3145728,12582912,2803.440,2207.446,1354.000,15049.000,4488.383
Classic Paard,6291456,25165824,4138.355,2618.996,2301.000,16053.000,6081.118
Classic Paard,12582912,50331648,6410.775,2630.078,4206.000,17502.000,7851.102
Classic Paard,25165824,100663296,11033.080,2732.135,8182.000,24524.000,9123.771
Classic Paard,50331648,201326592,19155.690,3331.092,16033.000,44867.000,10510.015
Classic Paard,100663296,402653184,35395.090,3519.043,32106.000,53625.000,11375.962
Classic Paard,201326592,805306368,66896.360,2301.571,63843.000,76572.000,12038.119
Classic Paard,402653184,1610612736,132163.095,3692.688,127510.000,157775.000,12186.554
Classic Paard,805306368,3221225472,260351.620,3942.521,254864.000,281727.000,12372.596
Classic Paard,1610612736,6442450944,514655.145,3328.792,508989.000,528348.000,12517.996
Pipelined Ring,384,1536,356.845,5.954,348.000,390.000,4.304
Pipelined Ring,768,3072,357.365,4.209,350.000,374.000,8.596
Pipelined Ring,1536,6144,348.735,3.644,343.000,364.000,17.618
Pipelined Ring,3072,12288,349.890,4.116,343.000,379.000,35.120
Pipelined Ring,6144,24576,353.895,5.131,347.000,384.000,69.444
Pipelined Ring,12288,49152,356.920,4.426,350.000,372.000,137.712
Pipelined Ring,24576,98304,373.460,4.613,364.000,389.000,263.225
Pipelined Ring,49152,196608,391.920,4.665,384.000,407.000,501.653
Pipelined Ring,98304,393216,444.810,11.094,434.000,572.000,884.009
Pipelined Ring,196608,786432,519.505,5.914,509.000,540.000,1513.810
Pipelined Ring,393216,1572864,585.480,17.658,568.000,733.000,2686.452
Pipelined Ring,786432,3145728,1882.465,1929.196,937.000,15677.000,1671.069
Pipelined Ring,1572864,6291456,2107.885,2250.708,1133.000,18180.000,2984.724
Pipelined Ring,3145728,12582912,2398.465,2078.015,1518.000,18488.000,5246.235
Pipelined Ring,6291456,25165824,4468.640,4301.742,2605.000,28906.000,5631.652
Pipelined Ring,12582912,50331648,6904.895,5078.839,4340.000,45686.000,7289.271
Pipelined Ring,25165824,100663296,11667.045,5129.272,7882.000,33189.000,8628.003
Pipelined Ring,50331648,201326592,18782.975,6307.873,15042.000,53002.000,10718.568
Pipelined Ring,100663296,402653184,34653.445,5988.654,29866.000,64427.000,11619.427
Pipelined Ring,201326592,805306368,65223.700,6832.445,59505.000,94633.000,12346.837
Pipelined Ring,402653184,1610612736,127012.280,8888.605,119014.000,157440.000,12680.764
Pipelined Ring,805306368,3221225472,245558.850,7795.436,239075.000,281153.000,13117.937
Pipelined Ring,1610612736,6442450944,483640.675,8570.643,477808.000,518345.000,13320.738
Classic Ring,384,1536,255.690,4.208,247.000,268.000,6.007
Classic Ring,768,3072,256.140,4.058,246.000,267.000,11.993
Classic Ring,1536,6144,256.970,4.961,248.000,303.000,23.909
Classic Ring,3072,12288,255.000,3.673,248.000,268.000,48.188
Classic Ring,6144,24576,258.210,6.933,248.000,301.000,95.178
Classic Ring,12288,49152,267.825,7.819,255.000,320.000,183.523
Classic Ring,24576,98304,276.580,5.200,265.000,297.000,355.427
Classic Ring,49152,196608,296.145,5.162,284.000,312.000,663.891
Classic Ring,98304,393216,355.520,12.284,336.000,492.000,1106.031
Classic Ring,196608,786432,398.430,8.865,380.000,419.000,1973.827
Classic Ring,393216,1572864,431.955,15.858,408.000,602.000,3641.268
Classic Ring,786432,3145728,1760.270,2278.907,806.000,18582.000,1787.071
Classic Ring,1572864,6291456,1804.340,1950.716,988.000,15506.000,3486.846
Classic Ring,3145728,12582912,2170.840,2428.315,1380.000,27902.000,5796.333
Classic Ring,6291456,25165824,3474.350,2423.036,2233.000,17719.000,7243.319
Classic Ring,12582912,50331648,5038.670,2622.427,3953.000,25249.000,9989.074
Classic Ring,25165824,100663296,9187.700,2720.081,7524.000,22680.000,10956.311
Classic Ring,50331648,201326592,17403.980,3809.131,15064.000,39844.000,11567.848
Classic Ring,100663296,402653184,32424.580,3484.623,30261.000,47648.000,12418.146
Classic Ring,201326592,805306368,63805.910,4995.525,60535.000,87559.000,12621.188
Classic Ring,402653184,1610612736,125335.890,5008.522,121601.000,147146.000,12850.371
Classic Ring,805306368,3221225472,248828.100,5441.265,243100.000,272120.000,12945.586
Classic Ring,1610612736,6442450944,486734.965,3823.462,483394.000,503813.000,13236.055
