Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,202.460,6.096,190.000,240.000,7.587
Pipelined Paard,768,3072,208.020,149.805,188.000,2320.000,14.768
Pipelined Paard,1536,6144,200.310,5.934,190.000,223.000,30.672
Pipelined Paard,3072,12288,201.620,11.084,193.000,338.000,60.946
Pipelined Paard,6144,24576,203.915,5.421,196.000,227.000,120.521
Pipelined Paard,12288,49152,214.585,30.727,205.000,616.000,229.056
Pipelined Paard,24576,98304,232.445,7.012,220.000,254.000,422.913
Pipelined Paard,49152,196608,261.760,12.046,253.000,348.000,751.100
Pipelined Paard,98304,393216,327.590,17.746,305.000,446.000,1200.330
Pipelined Paard,196608,786432,365.640,18.358,342.000,429.000,2150.837
Pipelined Paard,393216,1572864,408.785,24.228,379.000,583.000,3847.656
Pipelined Paard,786432,3145728,1663.010,1822.641,785.000,16287.000,1891.587
Pipelined Paard,1572864,6291456,2000.980,1890.708,1031.000,12715.000,3144.187
Pipelined Paard,3145728,12582912,3267.005,3294.539,1805.000,22679.000,3851.513
Pipelined Paard,6291456,25165824,5047.335,3823.831,2828.000,24525.000,4985.963
Pipelined Paard,12582912,50331648,8503.225,4934.519,4991.000,32747.000,5919.125
Pipelined Paard,25165824,100663296,13113.280,5380.616,9243.000,47480.000,7676.439
Pipelined Paard,50331648,201326592,23723.845,5235.069,17903.000,52318.000,8486.255
Pipelined Paard,100663296,402653184,41308.300,5467.011,35046.000,75072.000,9747.513
Pipelined Paard,201326592,805306368,76659.700,6056.483,70387.000,106388.000,10504.951
Pipelined Paard,402653184,1610612736,146344.870,4705.573,140519.000,169884.000,11005.598
Pipelined Paard,805306368,3221225472,290685.810,6926.033,279342.000,318360.000,11081.468
Pipelined Paard,1610612736,6442450944,575643.725,7253.493,562222.000,610573.000,11191.733
Classic Paard,384,1536,148.045,2.793,143.000,160.000,10.375
Classic Paard,768,3072,148.020,2.977,143.000,166.000,20.754
Classic Paard,1536,6144,149.195,3.937,144.000,163.000,41.181
Classic Paard,3072,12288,151.430,5.109,144.000,176.000,81.146
Classic Paard,6144,24576,156.330,3.754,149.000,191.000,157.206
Classic Paard,12288,49152,163.075,4.978,155.000,181.000,301.407
Classic Paard,24576,98304,180.020,3.318,175.000,191.000,546.073
Classic Paard,49152,196608,209.085,5.407,201.000,226.000,940.326
Classic Paard,98304,393216,241.645,8.242,228.000,278.000,1627.247
Classic Paard,196608,786432,266.130,10.719,250.000,297.000,2955.067
Classic Paard,393216,1572864,316.450,11.999,298.000,363.000,4970.340
Classic Paard,786432,3145728,745.160,30.267,694.000,851.000,4221.547
Classic Paard,1572864,6291456,1693.115,2255.937,947.000,16950.000,3715.906
Classic Paard,3145728,12582912,2088.520,1405.664,1435.000,8478.000,6024.798
Classic Paard,6291456,25165824,3527.690,2357.933,2440.000,19178.000,7133.797
Classic Paard,12582912,50331648,6337.540,2941.782,4515.000,24000.000,7941.827
Classic Paard,25165824,100663296,11831.140,3620.537,8767.000,39696.000,8508.334
Classic Paard,50331648,201326592,20196.830,2656.009,17172.000,36031.000,9968.227
Classic Paard,100663296,402653184,37503.020,3309.277,34122.000,54575.000,10736.554
Classic Paard,201326592,805306368,71718.710,2969.234,68015.000,91017.000,11228.679
Classic Paard,402653184,1610612736,139505.985,3250.313,135704.000,157943.000,11545.116
Classic Paard,805306368,3221225472,279063.705,4297.772,272806.000,305575.000,11542.975
Classic Paard,1610612736,6442450944,551160.170,3513.128,544320.000,568042.000,11688.891
