Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,1059.905,116.900,1046.000,2552.000,1.449
Pipelined Paard,768,3072,1056.400,117.838,1046.000,2716.000,2.908
Pipelined Paard,1536,6144,1048.545,1.933,1046.000,1065.000,5.860
Pipelined Paard,3072,12288,1048.555,1.746,1045.000,1064.000,11.719
Pipelined Paard,6144,24576,1048.575,1.589,1046.000,1064.000,23.438
Pipelined Paard,12288,49152,1048.545,3.910,1046.000,1087.000,46.876
Pipelined Paard,24576,98304,1048.565,4.937,1046.000,1053.000,93.751
Pipelined Paard,49152,196608,1048.550,2.820,1044.000,1061.000,187.505
Pipelined Paard,98304,393216,1051.170,42.734,1041.000,1649.000,374.075
Pipelined Paard,196608,786432,1053.790,64.320,1040.000,1948.000,746.289
Pipelined Paard,393216,1572864,1048.560,10.236,1026.000,1084.000,1500.023
Pipelined Paard,786432,3145728,2424.870,2451.006,1527.000,20584.000,1297.277
Pipelined Paard,1572864,6291456,3268.860,3378.188,1556.000,32894.000,1924.664
Pipelined Paard,3145728,12582912,4841.705,4140.657,2582.000,21512.000,2598.860
Pipelined Paard,6291456,25165824,6021.160,4342.652,3380.000,25753.000,4179.564
Pipelined Paard,12582912,50331648,8892.300,5168.288,5251.000,32512.000,5660.138
Pipelined Paard,25165824,100663296,12765.335,4472.078,9372.000,29980.000,7885.676
Pipelined Paard,50331648,201326592,22264.195,5040.238,17784.000,53257.000,9042.617
Pipelined Paard,100663296,402653184,39685.730,4758.024,34530.000,57152.000,10146.045
Pipelined Paard,201326592,805306368,74639.995,4672.182,69306.000,96745.000,10789.207
Pipelined Paard,402653184,1610612736,140299.605,2831.502,135159.000,156652.000,11479.809
Pipelined Paard,805306368,3221225472,280535.965,3984.339,273803.000,302355.000,11482.398
Pipelined Paard,1610612736,6442450944,559940.320,6619.993,547978.000,588125.000,11505.603
Classic Paard,384,1536,1048.555,1.311,1046.000,1058.000,1.465
Classic Paard,768,3072,1048.540,0.927,1047.000,1052.000,2.930
Classic Paard,1536,6144,1048.555,1.323,1047.000,1057.000,5.859
Classic Paard,3072,12288,1048.540,1.139,1047.000,1054.000,11.719
Classic Paard,6144,24576,1048.560,1.269,1047.000,1055.000,23.438
Classic Paard,12288,49152,1048.545,1.068,1047.000,1055.000,46.876
Classic Paard,24576,98304,1048.550,1.691,1046.000,1061.000,93.752
Classic Paard,49152,196608,1048.560,1.169,1046.000,1054.000,187.503
Classic Paard,98304,393216,1048.555,5.879,1046.000,1066.000,375.008
Classic Paard,196608,786432,1048.555,7.873,1039.000,1070.000,750.015
Classic Paard,393216,1572864,1048.540,9.346,1032.000,1080.000,1500.052
Classic Paard,786432,3145728,2466.895,2307.012,1532.000,21088.000,1275.177
Classic Paard,1572864,6291456,3300.365,2387.168,1545.000,16256.000,1906.291
Classic Paard,3145728,12582912,3874.585,3237.157,2076.000,29204.000,3247.551
Classic Paard,6291456,25165824,4618.885,2088.676,2974.000,14502.000,5448.463
Classic Paard,12582912,50331648,7631.265,3609.504,5191.000,36734.000,6595.453
Classic Paard,25165824,100663296,12045.670,3096.559,8974.000,27032.000,8356.803
Classic Paard,50331648,201326592,20606.110,2875.556,17783.000,32373.000,9770.238
Classic Paard,100663296,402653184,37237.565,2674.462,34733.000,49610.000,10813.091
Classic Paard,201326592,805306368,71715.660,3118.541,68636.000,93286.000,11229.156
Classic Paard,402653184,1610612736,140198.310,2773.198,136547.000,155721.000,11488.104
Classic Paard,805306368,3221225472,279243.650,4078.018,273993.000,301502.000,11535.537
