impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,256,1024,492.995,12.878,481.000,621.000,2.077
Pipelined Ring,512,2048,482.670,11.678,475.000,626.000,4.243
Pipelined Ring,1024,4096,482.030,12.420,474.000,642.000,8.497
Pipelined Ring,2048,8192,484.100,15.314,474.000,636.000,16.922
Pipelined Ring,4096,16384,480.930,3.281,475.000,497.000,34.067
Pipelined Ring,8192,32768,487.465,34.958,478.000,978.000,67.221
Pipelined Ring,16384,65536,481.730,3.541,475.000,495.000,136.043
Pipelined Ring,32768,131072,498.145,10.744,491.000,642.000,263.120
Pipelined Ring,65536,262144,537.255,8.484,529.000,633.000,487.932
Pipelined Ring,131072,524288,610.665,17.778,602.000,852.000,858.553
Pipelined Ring,262144,1048576,1824.040,1745.117,1268.000,16840.000,574.865
Pipelined Ring,524288,2097152,1902.925,1686.758,1313.000,16682.000,1102.068
Pipelined Ring,1048576,4194304,1944.725,1474.138,1437.000,18217.000,2156.759
Pipelined Ring,2097152,8388608,2323.950,1270.358,1683.000,12801.000,3609.634
Pipelined Ring,4194304,16777216,2970.950,1859.858,2265.000,23178.000,5647.088
Pipelined Ring,8388608,33554432,5560.290,3531.370,4017.000,24582.000,6034.655
Pipelined Ring,16777216,67108864,8770.040,4061.034,6386.000,28500.000,7652.059
Pipelined Ring,33554432,134217728,13930.155,3868.075,11448.000,30804.000,9635.049
Pipelined Ring,67108864,268435456,24125.315,5034.542,21760.000,57026.000,11126.713
Pipelined Ring,134217728,536870912,45877.830,5493.332,42380.000,81246.000,11702.186
Pipelined Ring,268435456,1073741824,87805.660,5582.510,83763.000,114576.000,12228.617
Pipelined Ring,536870912,2147483648,172249.930,4953.053,167154.000,200749.000,12467.254
Pipelined Ring,1073741824,4294967296,340938.215,5723.695,336127.000,378764.000,12597.495
Pipelined Ring,2147483648,8589934592,678163.190,7188.513,671136.000,712354.000,12666.471
Classic Ring,256,1024,255.120,3.194,250.000,269.000,4.014
Classic Ring,512,2048,258.750,2.886,254.000,273.000,7.915
Classic Ring,1024,4096,259.230,3.422,254.000,278.000,15.801
Classic Ring,2048,8192,257.890,5.316,248.000,276.000,31.765
Classic Ring,4096,16384,260.055,3.047,255.000,275.000,63.002
Classic Ring,8192,32768,260.435,3.674,255.000,281.000,125.820
Classic Ring,16384,65536,266.810,3.232,261.000,281.000,245.628
Classic Ring,32768,131072,286.405,4.175,281.000,303.000,457.646
Classic Ring,65536,262144,327.635,9.323,317.000,357.000,800.110
Classic Ring,131072,524288,388.225,6.260,379.000,406.000,1350.475
Classic Ring,262144,1048576,1267.255,1482.706,967.000,17889.000,827.439
Classic Ring,524288,2097152,1564.835,1455.974,1010.000,10942.000,1340.175
Classic Ring,1048576,4194304,1679.990,1739.505,1151.000,13618.000,2496.624
Classic Ring,2097152,8388608,1918.285,1648.211,1380.000,16979.000,4372.973
Classic Ring,4194304,16777216,2855.365,2057.700,1972.000,20296.000,5875.682
Classic Ring,8388608,33554432,4078.085,1813.462,3185.000,17093.000,8227.987
Classic Ring,16777216,67108864,6606.165,1555.840,5585.000,13832.000,10158.521
Classic Ring,33554432,134217728,11966.670,2173.593,10621.000,26000.000,11215.963
Classic Ring,67108864,268435456,22300.255,2120.047,21014.000,37505.000,12037.327
Classic Ring,134217728,536870912,43370.880,2774.536,41650.000,58317.000,12378.603
Classic Ring,268435456,1073741824,85432.905,2848.259,83320.000,99366.000,12568.247
Classic Ring,536870912,2147483648,169535.870,3141.821,166693.000,188786.000,12666.839
Classic Ring,1073741824,4294967296,338480.405,3576.698,334969.000,354222.000,12688.969
Classic Ring,2147483648,8589934592,673728.585,3463.434,668654.000,692571.000,12749.844
