Running in Release Mode
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,256,1024,511.170,185.915,480.000,2467.000,2.003
Pipelined Ring,512,2048,498.705,37.069,477.000,942.000,4.107
Pipelined Ring,1024,4096,553.295,13.323,540.000,723.000,7.403
Pipelined Ring,2048,8192,560.920,28.140,545.000,838.000,14.605
Pipelined Ring,4096,16384,555.740,5.520,545.000,578.000,29.481
Pipelined Ring,8192,32768,558.665,6.002,547.000,580.000,58.654
Pipelined Ring,16384,65536,561.925,14.003,546.000,667.000,116.628
Pipelined Ring,32768,131072,584.690,141.698,562.000,2574.000,224.173
Pipelined Ring,65536,262144,607.000,23.539,594.000,921.000,431.868
Pipelined Ring,131072,524288,671.545,14.086,659.000,831.000,780.719
Pipelined Ring,262144,1048576,1855.970,1587.285,1244.000,11985.000,564.975
Pipelined Ring,524288,2097152,1949.380,1480.118,1369.000,13932.000,1075.805
Pipelined Ring,1048576,4194304,1854.725,1481.380,1471.000,19206.000,2261.416
Pipelined Ring,2097152,8388608,2669.065,2261.283,1762.000,22407.000,3142.901
Pipelined Ring,4194304,16777216,3126.040,1826.450,2390.000,18104.000,5366.923
Pipelined Ring,8388608,33554432,5610.375,3843.004,4045.000,27580.000,5980.782
Pipelined Ring,16777216,67108864,7884.795,3614.963,6527.000,33605.000,8511.174
Pipelined Ring,33554432,134217728,13377.090,3847.857,11578.000,32080.000,10033.402
Pipelined Ring,67108864,268435456,24685.805,6069.399,21748.000,76732.000,10874.082
Pipelined Ring,134217728,536870912,46017.255,5194.273,42310.000,66980.000,11666.730
Pipelined Ring,268435456,1073741824,88840.315,6256.850,83965.000,112911.000,12086.200
Pipelined Ring,536870912,2147483648,173087.555,5700.435,167991.000,199230.000,12406.921
Pipelined Ring,1073741824,4294967296,342656.175,6457.204,337617.000,369956.000,12534.335
Pipelined Ring,2147483648,8589934592,681177.830,7017.441,675154.000,740174.000,12610.414
Classic Ring,256,1024,260.580,5.526,250.000,288.000,3.930
Classic Ring,512,2048,287.365,4.576,279.000,307.000,7.127
Classic Ring,1024,4096,287.295,4.127,280.000,304.000,14.257
Classic Ring,2048,8192,286.650,4.018,280.000,300.000,28.578
Classic Ring,4096,16384,293.020,11.374,283.000,365.000,55.914
Classic Ring,8192,32768,289.480,3.573,283.000,306.000,113.196
Classic Ring,16384,65536,297.565,4.130,291.000,320.000,220.241
Classic Ring,32768,131072,316.025,9.005,308.000,393.000,414.752
Classic Ring,65536,262144,353.250,4.473,347.000,373.000,742.092
Classic Ring,131072,524288,414.525,4.393,408.000,432.000,1264.792
Classic Ring,262144,1048576,1385.280,1580.927,937.000,16969.000,756.942
Classic Ring,524288,2097152,1135.060,268.308,968.000,4414.000,1847.613
Classic Ring,1048576,4194304,1573.765,1294.589,1104.000,14764.000,2665.140
Classic Ring,2097152,8388608,1861.940,1574.956,1431.000,15967.000,4505.305
Classic Ring,4194304,16777216,2634.155,1772.391,1949.000,16091.000,6369.107
Classic Ring,8388608,33554432,3799.605,1586.606,3157.000,20533.000,8831.032
Classic Ring,16777216,67108864,6623.015,2195.321,5693.000,23112.000,10132.676
Classic Ring,33554432,134217728,12064.015,2615.701,10774.000,28081.000,11125.461
Classic Ring,67108864,268435456,22563.185,2477.543,21001.000,34974.000,11897.055
Classic Ring,134217728,536870912,43812.700,3340.102,41871.000,68448.000,12253.774
Classic Ring,268435456,1073741824,85916.000,3392.498,83796.000,106977.000,12497.577
Classic Ring,536870912,2147483648,171158.795,3916.702,168002.000,191520.000,12546.733
Classic Ring,1073741824,4294967296,341290.125,5179.705,336782.000,373900.000,12584.505
Classic Ring,2147483648,8589934592,680174.575,6369.659,674747.000,712917.000,12629.015
Hierarchical Ring,256,1024,57.650,2.595,55.000,70.000,17.762
Hierarchical Ring,512,2048,57.410,2.279,55.000,75.000,35.673
Hierarchical Ring,1024,4096,61.365,2.640,58.000,72.000,66.748
Hierarchical Ring,2048,8192,62.050,3.306,59.000,94.000,132.023
Hierarchical Ring,4096,16384,65.020,2.548,61.000,79.000,251.984
Hierarchical Ring,8192,32768,65.535,1.631,63.000,77.000,500.008
Hierarchical Ring,16384,65536,74.365,3.207,71.000,94.000,881.275
Hierarchical Ring,32768,131072,76.380,2.832,73.000,91.000,1716.051
Hierarchical Ring,65536,262144,83.045,3.010,79.000,102.000,3156.650
Hierarchical Ring,131072,524288,101.475,4.906,96.000,127.000,5166.672
Hierarchical Ring,262144,1048576,154.540,9.359,145.000,190.000,6785.143
Hierarchical Ring,524288,2097152,284.605,9.332,273.000,326.000,7368.641
Hierarchical Ring,1048576,4194304,248.615,15.121,236.000,343.000,16870.680
Hierarchical Ring,2097152,8388608,345.670,21.909,322.000,481.000,24267.677
Hierarchical Ring,4194304,16777216,565.585,33.486,516.000,684.000,29663.474
Hierarchical Ring,8388608,33554432,986.385,95.377,851.000,1471.000,34017.581
Hierarchical Ring,16777216,67108864,1794.945,103.167,1658.000,2259.000,37387.699
Hierarchical Ring,33554432,134217728,3344.795,170.928,3113.000,4056.000,40127.341
Hierarchical Ring,67108864,268435456,6468.715,246.474,6130.000,7677.000,41497.493
Hierarchical Ring,134217728,536870912,12610.530,372.107,12106.000,14330.000,42573.223
Hierarchical Ring,268435456,1073741824,24679.735,567.143,23881.000,26371.000,43507.024
Hierarchical Ring,536870912,2147483648,48458.525,733.600,47280.000,50874.000,44315.910
Hierarchical Ring,1073741824,4294967296,95955.770,834.891,94566.000,98907.000,44759.865
Hierarchical Ring,2147483648,8589934592,190837.665,1004.855,188320.000,193485.000,45011.736
