Running in Release Mode
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,256,1024,488.095,12.229,479.000,648.000,2.098
Pipelined Ring,512,2048,493.725,41.776,471.000,934.000,4.148
Pipelined Ring,1024,4096,479.705,4.046,473.000,497.000,8.539
Pipelined Ring,2048,8192,481.460,15.951,473.000,637.000,17.015
Pipelined Ring,4096,16384,480.320,17.690,472.000,725.000,34.111
Pipelined Ring,8192,32768,488.020,12.309,478.000,586.000,67.145
Pipelined Ring,16384,65536,480.960,6.029,473.000,544.000,136.261
Pipelined Ring,32768,131072,507.480,147.064,489.000,2577.000,258.280
Pipelined Ring,65536,262144,533.930,4.340,526.000,549.000,490.971
Pipelined Ring,131072,524288,607.745,15.897,600.000,823.000,862.678
Pipelined Ring,262144,1048576,1838.695,1965.576,1170.000,17743.000,570.283
Pipelined Ring,524288,2097152,1928.270,1825.405,1343.000,12794.000,1087.582
Pipelined Ring,1048576,4194304,1951.245,1619.390,1416.000,13920.000,2149.553
Pipelined Ring,2097152,8388608,2236.425,1188.062,1675.000,9262.000,3750.901
Pipelined Ring,4194304,16777216,2841.165,1850.701,2240.000,22584.000,5905.048
Pipelined Ring,8388608,33554432,5656.570,4020.081,3946.000,27985.000,5931.940
Pipelined Ring,16777216,67108864,8809.640,4563.809,6478.000,31402.000,7617.662
Pipelined Ring,33554432,134217728,13925.275,4460.199,11486.000,48802.000,9638.426
Pipelined Ring,67108864,268435456,24329.650,5171.461,21725.000,54199.000,11033.264
Pipelined Ring,134217728,536870912,45476.170,4653.327,42400.000,65177.000,11805.544
Pipelined Ring,268435456,1073741824,88000.635,5116.935,83763.000,110932.000,12201.524
Pipelined Ring,536870912,2147483648,171856.875,4632.646,167087.000,190419.000,12495.768
Pipelined Ring,1073741824,4294967296,340473.440,5438.921,335929.000,376477.000,12614.691
Pipelined Ring,2147483648,8589934592,677543.590,5625.000,671964.000,704200.000,12678.055
Classic Ring,256,1024,256.120,3.261,251.000,269.000,3.998
Classic Ring,512,2048,259.845,2.882,255.000,274.000,7.882
Classic Ring,1024,4096,260.345,10.020,254.000,394.000,15.733
Classic Ring,2048,8192,258.575,5.418,249.000,281.000,31.681
Classic Ring,4096,16384,260.350,3.491,255.000,280.000,62.931
Classic Ring,8192,32768,260.215,6.522,255.000,331.000,125.927
Classic Ring,16384,65536,267.330,3.515,261.000,281.000,245.150
Classic Ring,32768,131072,287.310,3.719,281.000,301.000,456.204
Classic Ring,65536,262144,324.970,7.618,316.000,343.000,806.671
Classic Ring,131072,524288,391.335,10.898,381.000,520.000,1339.742
Classic Ring,262144,1048576,1284.180,1230.870,885.000,12339.000,816.534
Classic Ring,524288,2097152,1592.610,1525.562,952.000,12045.000,1316.802
Classic Ring,1048576,4194304,1742.600,1785.431,1135.000,17769.000,2406.923
Classic Ring,2097152,8388608,1966.995,2059.424,1337.000,21699.000,4264.682
Classic Ring,4194304,16777216,2930.460,2103.619,2021.000,15384.000,5725.113
Classic Ring,8388608,33554432,3779.355,1557.411,3153.000,14400.000,8878.349
Classic Ring,16777216,67108864,6679.585,2119.590,5585.000,19381.000,10046.861
Classic Ring,33554432,134217728,12284.180,2800.129,10654.000,28529.000,10926.063
Classic Ring,67108864,268435456,23034.405,3431.100,20959.000,43700.000,11653.674
Classic Ring,134217728,536870912,43472.940,3123.225,41649.000,62528.000,12349.542
Classic Ring,268435456,1073741824,85546.030,2986.804,83247.000,103753.000,12551.627
Classic Ring,536870912,2147483648,169462.085,3427.294,166677.000,189068.000,12672.355
Classic Ring,1073741824,4294967296,338963.420,5127.982,335521.000,373605.000,12670.887
Classic Ring,2147483648,8589934592,675927.860,5461.221,670182.000,703980.000,12708.360
Hierarchical Ring,256,1024,48.860,1.151,47.000,55.000,20.958
Hierarchical Ring,512,2048,49.175,1.538,48.000,63.000,41.647
Hierarchical Ring,1024,4096,49.575,0.956,48.000,55.000,82.622
Hierarchical Ring,2048,8192,50.530,1.360,49.000,60.000,162.122
Hierarchical Ring,4096,16384,53.920,1.333,52.000,65.000,303.858
Hierarchical Ring,8192,32768,56.845,1.342,55.000,67.000,576.445
Hierarchical Ring,16384,65536,61.040,1.814,59.000,74.000,1073.657
Hierarchical Ring,32768,131072,64.245,2.145,62.000,75.000,2040.190
Hierarchical Ring,65536,262144,70.690,2.201,68.000,83.000,3708.360
Hierarchical Ring,131072,524288,89.385,5.071,85.000,115.000,5865.503
Hierarchical Ring,262144,1048576,132.885,10.388,124.000,188.000,7890.853
Hierarchical Ring,524288,2097152,246.830,11.190,235.000,309.000,8496.342
Hierarchical Ring,1048576,4194304,240.790,14.400,227.000,301.000,17418.929
Hierarchical Ring,2097152,8388608,342.355,22.947,314.000,445.000,24502.660
Hierarchical Ring,4194304,16777216,568.975,34.085,513.000,685.000,29486.737
Hierarchical Ring,8388608,33554432,982.755,64.366,874.000,1307.000,34143.232
Hierarchical Ring,16777216,67108864,1836.715,105.491,1691.000,2278.000,36537.440
Hierarchical Ring,33554432,134217728,3407.700,148.216,3169.000,3987.000,39386.603
Hierarchical Ring,67108864,268435456,6606.690,224.845,6245.000,7399.000,40630.854
Hierarchical Ring,134217728,536870912,12830.245,331.332,12228.000,14054.000,41844.167
Hierarchical Ring,268435456,1073741824,25163.675,476.408,24360.000,26882.000,42670.310
Hierarchical Ring,536870912,2147483648,49420.635,611.969,48350.000,50960.000,43453.178
Hierarchical Ring,1073741824,4294967296,98033.315,982.096,96257.000,101514.000,43811.303
Hierarchical Ring,2147483648,8589934592,195373.730,1127.999,192977.000,199235.000,43966.682
