Running in Release Mode
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,256,1024,475.855,11.158,466.000,601.000,2.152
Pipelined Ring,512,2048,466.430,14.946,456.000,606.000,4.391
Pipelined Ring,1024,4096,464.405,16.207,457.000,687.000,8.820
Pipelined Ring,2048,8192,470.915,15.516,462.000,623.000,17.396
Pipelined Ring,4096,16384,470.055,33.092,461.000,934.000,34.855
Pipelined Ring,8192,32768,473.335,3.753,468.000,492.000,69.228
Pipelined Ring,16384,65536,473.000,9.424,466.000,584.000,138.554
Pipelined Ring,32768,131072,494.325,18.776,486.000,700.000,265.153
Pipelined Ring,65536,262144,534.155,4.565,527.000,552.000,490.764
Pipelined Ring,131072,524288,608.800,5.476,602.000,629.000,861.183
Pipelined Ring,262144,1048576,1809.020,1703.169,1189.000,13781.000,579.638
Pipelined Ring,524288,2097152,1920.920,1582.813,1311.000,12159.000,1091.744
Pipelined Ring,1048576,4194304,1957.780,1573.653,1361.000,15267.000,2142.378
Pipelined Ring,2097152,8388608,2235.275,1423.734,1647.000,13452.000,3752.830
Pipelined Ring,4194304,16777216,3196.300,2845.017,2232.000,22135.000,5248.949
Pipelined Ring,8388608,33554432,5572.440,3783.311,3902.000,29091.000,6021.497
Pipelined Ring,16777216,67108864,8643.080,4455.356,6344.000,32711.000,7764.462
Pipelined Ring,33554432,134217728,14109.680,4425.642,11410.000,35930.000,9512.457
Pipelined Ring,67108864,268435456,24829.235,5704.807,21537.000,56465.000,10811.266
Pipelined Ring,134217728,536870912,45300.450,5038.291,41887.000,73330.000,11851.337
Pipelined Ring,268435456,1073741824,87305.795,5382.182,82947.000,110760.000,12298.632
Pipelined Ring,536870912,2147483648,170395.570,5241.851,165570.000,192120.000,12602.931
Pipelined Ring,1073741824,4294967296,336340.485,4417.053,332375.000,360151.000,12769.701
Pipelined Ring,2147483648,8589934592,671705.390,7553.458,664994.000,716169.000,12788.247
Classic Ring,256,1024,251.430,4.917,245.000,287.000,4.073
Classic Ring,512,2048,253.015,3.114,248.000,268.000,8.094
Classic Ring,1024,4096,252.460,2.395,248.000,263.000,16.224
Classic Ring,2048,8192,256.315,3.877,251.000,293.000,31.961
Classic Ring,4096,16384,255.405,3.409,250.000,279.000,64.149
Classic Ring,8192,32768,257.615,9.316,252.000,326.000,127.198
Classic Ring,16384,65536,267.305,10.474,261.000,369.000,245.173
Classic Ring,32768,131072,284.690,4.513,277.000,305.000,460.403
Classic Ring,65536,262144,325.375,10.427,315.000,422.000,805.667
Classic Ring,131072,524288,389.135,5.741,381.000,408.000,1347.316
Classic Ring,262144,1048576,1580.520,2032.392,867.000,17118.000,663.437
Classic Ring,524288,2097152,1560.520,1825.645,935.000,13033.000,1343.880
Classic Ring,1048576,4194304,1700.190,1910.289,1110.000,20233.000,2466.962
Classic Ring,2097152,8388608,1988.740,1976.089,1328.000,19414.000,4218.052
Classic Ring,4194304,16777216,2884.370,2887.608,1923.000,26952.000,5816.596
Classic Ring,8388608,33554432,4232.545,2437.379,3128.000,18848.000,7927.720
Classic Ring,16777216,67108864,6835.260,2398.691,5570.000,22128.000,9818.041
Classic Ring,33554432,134217728,12269.715,3458.297,10537.000,38622.000,10938.944
Classic Ring,67108864,268435456,22407.475,3362.719,20698.000,48772.000,11979.728
Classic Ring,134217728,536870912,43294.125,3466.491,41172.000,61666.000,12400.549
Classic Ring,268435456,1073741824,84814.795,3036.606,82510.000,99351.000,12659.841
Classic Ring,536870912,2147483648,168251.830,3485.286,165407.000,186309.000,12763.508
Classic Ring,1073741824,4294967296,335117.955,3005.627,332196.000,350085.000,12816.285
Classic Ring,2147483648,8589934592,668750.520,4121.498,663587.000,691269.000,12844.752
Hierarchical Ring,256,1024,51.930,2.821,49.000,67.000,19.719
Hierarchical Ring,512,2048,50.595,9.557,47.000,154.000,40.478
Hierarchical Ring,1024,4096,49.450,1.771,48.000,63.000,82.831
Hierarchical Ring,2048,8192,54.575,2.289,52.000,67.000,150.105
Hierarchical Ring,4096,16384,53.920,1.356,52.000,62.000,303.858
Hierarchical Ring,8192,32768,56.860,1.249,55.000,65.000,576.293
Hierarchical Ring,16384,65536,60.920,1.497,59.000,71.000,1075.772
Hierarchical Ring,32768,131072,63.935,1.709,62.000,74.000,2050.082
Hierarchical Ring,65536,262144,71.065,1.933,68.000,80.000,3688.792
Hierarchical Ring,131072,524288,88.515,3.881,85.000,111.000,5923.154
Hierarchical Ring,262144,1048576,132.605,9.854,125.000,191.000,7907.515
Hierarchical Ring,524288,2097152,245.570,10.268,236.000,293.000,8539.936
Hierarchical Ring,1048576,4194304,241.845,15.281,227.000,315.000,17342.943
Hierarchical Ring,2097152,8388608,342.335,21.908,314.000,442.000,24504.091
Hierarchical Ring,4194304,16777216,562.950,33.389,505.000,704.000,29802.320
Hierarchical Ring,8388608,33554432,974.020,71.953,858.000,1329.000,34449.428
Hierarchical Ring,16777216,67108864,1805.490,94.949,1648.000,2290.000,37169.336
Hierarchical Ring,33554432,134217728,3333.680,145.500,3111.000,3877.000,40261.131
Hierarchical Ring,67108864,268435456,6448.970,192.826,6133.000,7166.000,41624.547
Hierarchical Ring,134217728,536870912,12599.370,365.489,11983.000,13962.000,42610.933
Hierarchical Ring,268435456,1073741824,24658.775,480.629,23882.000,26679.000,43544.005
Hierarchical Ring,536870912,2147483648,48516.600,558.557,47336.000,50374.000,44262.864
Hierarchical Ring,1073741824,4294967296,96511.475,887.092,94721.000,98701.000,44502.141
Hierarchical Ring,2147483648,8589934592,191684.285,1154.144,189271.000,194910.000,44812.931
