Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,stack_comm_us,stack_compute_us,throughput
Pipelined Ring,384,1536,997.165,41.082,949.000,1187.000,577.187,135.651,1.540
Pipelined Ring,768,3072,1001.820,45.463,967.000,1436.000,584.856,161.726,3.066
Pipelined Ring,1536,6144,1094.295,20.838,1078.000,1266.000,663.374,149.534,5.615
Pipelined Ring,3072,12288,1088.915,17.388,1075.000,1212.000,658.476,154.615,11.285
Pipelined Ring,6144,24576,1094.130,32.835,1078.000,1480.000,661.238,161.635,22.462
Pipelined Ring,12288,49152,1095.120,38.570,1078.000,1620.000,659.241,163.667,44.883
Pipelined Ring,24576,98304,1101.285,14.287,1086.000,1202.000,666.890,161.383,89.263
Pipelined Ring,49152,196608,1109.760,18.059,1093.000,1207.000,660.732,148.900,177.163
Pipelined Ring,98304,393216,1157.490,36.636,1129.000,1558.000,726.942,160.236,339.714
Pipelined Ring,196608,786432,1291.395,44.093,1267.000,1893.000,836.749,164.719,608.979
Pipelined Ring,393216,1572864,1372.620,48.038,1305.000,1639.000,939.759,152.770,1145.885
Pipelined Ring,786432,3145728,2291.945,1404.964,1935.000,16655.000,1293.470,162.901,1372.515
Pipelined Ring,1572864,6291456,2605.580,1423.786,2181.000,14249.000,1528.260,159.570,2414.609
Pipelined Ring,3145728,12582912,3459.655,1817.112,2601.000,14703.000,2233.151,157.161,3637.042
Pipelined Ring,6291456,25165824,5824.755,3815.490,4040.000,22193.000,3763.922,275.614,4320.495
Pipelined Ring,12582912,50331648,7983.800,4145.408,6119.000,30543.000,5633.979,504.306,6304.222
Pipelined Ring,25165824,100663296,12427.820,4357.247,10338.000,40087.000,9444.781,925.182,8099.835
Pipelined Ring,50331648,201326592,21652.220,5204.793,18744.000,47983.000,17541.724,1729.165,9298.196
Pipelined Ring,100663296,402653184,38784.965,4994.524,35738.000,59404.000,33069.544,3339.352,10381.682
Pipelined Ring,201326592,805306368,74466.995,5981.115,69785.000,99276.000,64489.069,6560.747,10814.272
Pipelined Ring,402653184,1610612736,143287.555,5661.710,138336.000,164168.000,125525.674,13094.366,11240.423
Pipelined Ring,805306368,3221225472,281184.605,4856.305,276325.000,311484.000,247778.898,26162.266,11455.910
Pipelined Ring,1610612736,6442450944,559827.270,7042.565,552588.000,597224.000,494249.500,52299.209,11507.926
Classic Ring,384,1536,650.690,12.676,625.000,693.000,391.327,79.839,2.361
Classic Ring,768,3072,682.805,9.287,668.000,716.000,427.500,70.823,4.499
Classic Ring,1536,6144,678.520,8.467,666.000,707.000,428.454,73.473,9.055
Classic Ring,3072,12288,678.010,9.139,668.000,723.000,427.654,74.166,18.124
Classic Ring,6144,24576,677.110,9.888,668.000,743.000,428.083,77.956,36.295
Classic Ring,12288,49152,681.845,8.288,670.000,708.000,436.764,72.091,72.087
Classic Ring,24576,98304,691.690,10.886,677.000,744.000,441.234,75.293,142.121
Classic Ring,49152,196608,703.470,14.315,686.000,800.000,452.053,81.143,279.483
Classic Ring,98304,393216,788.095,21.265,766.000,1054.000,532.900,81.114,498.945
Classic Ring,196608,786432,853.475,24.433,823.000,992.000,602.678,75.211,921.447
Classic Ring,393216,1572864,898.415,13.740,883.000,984.000,650.987,84.802,1750.710
Classic Ring,786432,3145728,2057.650,1745.088,1486.000,15549.000,1152.081,76.783,1528.796
Classic Ring,1572864,6291456,2518.495,2240.114,1737.000,21036.000,1618.779,80.043,2498.101
Classic Ring,3145728,12582912,3240.485,2586.342,2187.000,21459.000,2173.377,133.330,3883.034
Classic Ring,6291456,25165824,4164.405,2169.513,3185.000,21359.000,3022.004,249.417,6043.078
Classic Ring,12582912,50331648,6017.140,2145.766,5230.000,23464.000,4725.551,462.184,8364.713
Classic Ring,25165824,100663296,10896.660,2732.454,9432.000,28144.000,8963.790,864.892,9237.995
Classic Ring,50331648,201326592,19538.050,2708.022,17955.000,31313.000,16645.034,1669.187,10304.334
Classic Ring,100663296,402653184,36926.120,2835.815,35095.000,53258.000,32095.668,3279.763,10904.292
Classic Ring,201326592,805306368,71540.135,3255.665,69152.000,89138.000,62901.109,6546.312,11256.707
Classic Ring,402653184,1610612736,140355.495,3118.408,137788.000,159187.000,123885.583,13081.000,11475.238
Classic Ring,805306368,3221225472,279468.855,3082.822,275909.000,295106.000,247301.289,26149.146,11526.241
Classic Ring,1610612736,6442450944,557159.155,4986.057,550426.000,576423.000,493139.634,52245.847,11563.035
Pipelined HD,384,1536,269.700,5.182,263.000,296.000,0.000,0.000,5.695
Pipelined HD,768,3072,263.240,4.213,258.000,282.000,0.000,0.000,11.670
Pipelined HD,1536,6144,262.920,4.824,257.000,292.000,0.000,0.000,23.368
Pipelined HD,3072,12288,265.620,4.945,257.000,285.000,0.000,0.000,46.262
Pipelined HD,6144,24576,271.820,4.811,264.000,298.000,0.000,0.000,90.413
Pipelined HD,12288,49152,280.755,5.441,274.000,320.000,0.000,0.000,175.071
Pipelined HD,24576,98304,293.380,4.833,285.000,320.000,0.000,0.000,335.074
Pipelined HD,49152,196608,341.405,11.929,331.000,486.000,0.000,0.000,575.879
Pipelined HD,98304,393216,397.040,12.745,384.000,526.000,0.000,0.000,990.369
Pipelined HD,196608,786432,447.120,14.978,424.000,576.000,0.000,0.000,1758.884
Pipelined HD,393216,1572864,525.025,23.382,494.000,658.000,0.000,0.000,2995.789
Pipelined HD,786432,3145728,1784.545,1787.158,1050.000,16042.000,0.000,0.000,1762.762
