Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,410.070,22.404,391.000,604.000,3.746
Pipelined Ring,768,3072,406.980,9.977,390.000,448.000,7.548
Pipelined Ring,1536,6144,399.195,20.930,390.000,689.000,15.391
Pipelined Ring,3072,12288,399.970,5.801,391.000,440.000,30.722
Pipelined Ring,6144,24576,396.695,9.424,388.000,517.000,61.952
Pipelined Ring,12288,49152,404.520,5.552,395.000,433.000,121.507
Pipelined Ring,24576,98304,416.095,53.024,402.000,969.000,236.254
Pipelined Ring,49152,196608,430.695,5.471,422.000,452.000,456.490
Pipelined Ring,98304,393216,495.120,5.806,487.000,520.000,794.183
Pipelined Ring,196608,786432,610.155,35.002,596.000,1017.000,1288.905
Pipelined Ring,393216,1572864,672.575,6.663,662.000,697.000,2338.570
Pipelined Ring,786432,3145728,1841.100,1360.211,1271.000,12611.000,1708.613
Pipelined Ring,1572864,6291456,1999.140,1448.896,1402.000,15639.000,3147.081
Pipelined Ring,3145728,12582912,2388.145,1266.567,1845.000,11333.000,5268.906
Pipelined Ring,6291456,25165824,4360.445,3407.278,3244.000,36391.000,5771.389
Pipelined Ring,12582912,50331648,6424.430,3542.666,5144.000,30016.000,7834.415
Pipelined Ring,25165824,100663296,10658.695,3977.609,8733.000,33126.000,9444.242
Pipelined Ring,50331648,201326592,19050.365,4745.045,16461.000,40920.000,10568.123
Pipelined Ring,100663296,402653184,34812.950,4761.233,31759.000,59379.000,11566.190
Pipelined Ring,201326592,805306368,66870.555,5721.755,63002.000,96941.000,12042.765
Pipelined Ring,402653184,1610612736,130117.675,5924.088,125335.000,163013.000,12378.124
Pipelined Ring,805306368,3221225472,258038.400,6655.032,251742.000,308202.000,12483.512
Pipelined Ring,1610612736,6442450944,509360.675,6652.335,503023.000,546323.000,12648.112
Classic Ring,384,1536,328.960,8.859,317.000,370.000,4.669
Classic Ring,768,3072,324.285,3.444,318.000,337.000,9.473
Classic Ring,1536,6144,320.145,4.179,314.000,337.000,19.191
Classic Ring,3072,12288,320.625,4.173,315.000,334.000,38.325
Classic Ring,6144,24576,325.130,4.605,319.000,341.000,75.588
Classic Ring,12288,49152,331.845,5.184,325.000,378.000,148.117
Classic Ring,24576,98304,336.865,5.076,332.000,369.000,291.820
Classic Ring,49152,196608,369.840,7.997,358.000,391.000,531.603
Classic Ring,98304,393216,442.100,5.809,433.000,460.000,889.428
Classic Ring,196608,786432,494.410,6.603,482.000,514.000,1590.647
Classic Ring,393216,1572864,509.675,10.931,490.000,565.000,3086.014
Classic Ring,786432,3145728,1730.225,2145.180,1070.000,18766.000,1818.103
Classic Ring,1572864,6291456,1778.150,1921.492,1301.000,22365.000,3538.203
Classic Ring,3145728,12582912,2242.050,1380.392,1767.000,12355.000,5612.235
Classic Ring,6291456,25165824,3400.570,1921.532,2776.000,21246.000,7400.472
Classic Ring,12582912,50331648,5762.800,2282.302,4777.000,22793.000,8733.888
Classic Ring,25165824,100663296,9923.230,2210.570,8845.000,23691.000,10144.207
Classic Ring,50331648,201326592,18918.440,2781.202,17320.000,39180.000,10641.818
Classic Ring,100663296,402653184,35784.170,2479.127,34179.000,50626.000,11252.271
Classic Ring,201326592,805306368,70660.415,3066.384,68359.000,89191.000,11396.853
Classic Ring,402653184,1610612736,139256.885,2859.771,136686.000,154379.000,11565.767
Classic Ring,805306368,3221225472,278897.145,3870.515,275244.000,300391.000,11549.869
Classic Ring,1610612736,6442450944,554394.625,4485.670,548348.000,576382.000,11620.695
Pipelined HD,384,1536,269.160,5.295,261.000,299.000,5.707
Pipelined HD,768,3072,266.545,5.815,255.000,287.000,11.525
Pipelined HD,1536,6144,260.965,5.537,252.000,291.000,23.543
Pipelined HD,3072,12288,264.320,5.683,255.000,286.000,46.489
Pipelined HD,6144,24576,273.920,15.663,264.000,482.000,89.720
Pipelined HD,12288,49152,281.265,5.671,275.000,309.000,174.753
Pipelined HD,24576,98304,293.030,8.997,283.000,394.000,335.474
Pipelined HD,49152,196608,347.415,18.980,332.000,517.000,565.917
Pipelined HD,98304,393216,394.615,13.343,382.000,533.000,996.455
Pipelined HD,196608,786432,451.580,28.301,426.000,636.000,1741.512
Pipelined HD,393216,1572864,531.475,31.842,493.000,725.000,2959.432
Pipelined HD,786432,3145728,1498.140,1322.843,1085.000,18531.000,2099.756
Pipelined HD,1572864,6291456,2959.490,3084.218,1754.000,24225.000,2125.858
Pipelined HD,3145728,12582912,3316.725,2879.743,2307.000,28006.000,3793.776
Pipelined HD,6291456,25165824,4958.755,4000.218,3336.000,35081.000,5075.029
Pipelined HD,12582912,50331648,7843.665,4215.429,5579.000,37715.000,6416.853
Pipelined HD,25165824,100663296,12578.760,4505.009,10264.000,35658.000,8002.641
Pipelined HD,50331648,201326592,22330.970,5415.803,19431.000,52025.000,9015.578
Pipelined HD,100663296,402653184,42327.870,6384.990,37891.000,66608.000,9512.720
Pipelined HD,201326592,805306368,80121.080,5922.920,75366.000,102582.000,10051.117
Pipelined HD,402653184,1610612736,155061.490,5870.705,150086.000,183465.000,10386.929
Pipelined HD,805306368,3221225472,309585.930,8065.197,302034.000,345564.000,10404.948
Pipelined HD,1610612736,6442450944,611814.085,9283.714,601309.000,647499.000,10530.079
Classic HD,384,1536,148.650,2.963,145.000,160.000,10.333
Classic HD,768,3072,149.600,3.921,145.000,173.000,20.535
Classic HD,1536,6144,154.135,4.604,147.000,167.000,39.861
Classic HD,3072,12288,156.530,4.260,150.000,182.000,78.503
Classic HD,6144,24576,161.910,5.019,154.000,190.000,151.788
Classic HD,12288,49152,169.385,4.315,162.000,183.000,290.179
Classic HD,24576,98304,187.045,3.725,180.000,202.000,525.563
Classic HD,49152,196608,218.355,4.641,210.000,241.000,900.405
Classic HD,98304,393216,246.825,9.238,233.000,311.000,1593.096
Classic HD,196608,786432,277.000,10.420,264.000,312.000,2839.105
Classic HD,393216,1572864,1101.915,689.225,821.000,7930.000,1427.391
Classic HD,786432,3145728,1471.965,2017.365,891.000,22790.000,2137.094
Classic HD,1572864,6291456,1807.055,1180.819,1201.000,9301.000,3481.607
Classic HD,3145728,12582912,2336.645,1588.108,1690.000,14827.000,5385.034
Classic HD,6291456,25165824,3716.670,1976.637,2842.000,19957.000,6771.068
Classic HD,12582912,50331648,6135.800,1922.832,5204.000,23343.000,8202.948
Classic HD,25165824,100663296,11438.715,2657.612,9888.000,32644.000,8800.228
Classic HD,50331648,201326592,21120.135,2998.819,19598.000,41491.000,9532.448
Classic HD,100663296,402653184,41280.930,3421.658,38844.000,58392.000,9753.976
Classic HD,201326592,805306368,80623.785,3406.680,78075.000,96996.000,9988.447
Classic HD,402653184,1610612736,160430.070,5311.126,155235.000,185870.000,10039.344
Classic HD,805306368,3221225472,318448.640,5706.837,312490.000,337148.000,10115.369
