Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,509.175,15.881,484.000,576.000,3.017
Pipelined Ring,768,3072,498.360,11.008,484.000,541.000,6.164
Pipelined Ring,1536,6144,492.805,6.557,487.000,526.000,12.467
Pipelined Ring,3072,12288,494.115,7.820,485.000,526.000,24.869
Pipelined Ring,6144,24576,493.170,12.197,483.000,599.000,49.833
Pipelined Ring,12288,49152,494.295,18.765,485.000,749.000,99.439
Pipelined Ring,24576,98304,504.940,7.765,493.000,545.000,194.685
Pipelined Ring,49152,196608,533.860,51.859,513.000,1046.000,368.276
Pipelined Ring,98304,393216,579.330,15.581,563.000,658.000,678.743
Pipelined Ring,196608,786432,655.845,6.138,645.000,687.000,1199.113
Pipelined Ring,393216,1572864,771.915,25.379,722.000,834.000,2037.613
Pipelined Ring,786432,3145728,1925.945,1544.104,1324.000,13243.000,1633.343
Pipelined Ring,1572864,6291456,2235.140,1712.641,1493.000,13298.000,2814.793
Pipelined Ring,3145728,12582912,2754.110,2100.026,1917.000,15354.000,4568.776
Pipelined Ring,6291456,25165824,5044.440,3738.959,3275.000,22851.000,4988.824
Pipelined Ring,12582912,50331648,6485.145,3562.881,5280.000,28298.000,7761.067
Pipelined Ring,25165824,100663296,11044.710,4311.159,8965.000,36612.000,9114.164
Pipelined Ring,50331648,201326592,19475.670,4336.196,16873.000,39647.000,10337.338
Pipelined Ring,100663296,402653184,35883.175,5314.732,32498.000,63834.000,11221.225
Pipelined Ring,201326592,805306368,67913.175,5046.434,64289.000,92203.000,11857.881
Pipelined Ring,402653184,1610612736,132479.360,5513.638,127764.000,156837.000,12157.462
Pipelined Ring,805306368,3221225472,260961.115,5388.923,255894.000,286371.000,12343.699
Pipelined Ring,1610612736,6442450944,517646.685,7138.172,511391.000,555293.000,12445.653
Classic Ring,384,1536,458.585,10.643,437.000,513.000,3.349
Classic Ring,768,3072,465.435,17.883,439.000,508.000,6.600
Classic Ring,1536,6144,475.115,13.982,465.000,495.000,12.932
Classic Ring,3072,12288,475.205,14.718,466.000,495.000,25.858
Classic Ring,6144,24576,475.190,10.728,465.000,495.000,51.718
Classic Ring,12288,49152,475.765,6.737,468.000,495.000,103.312
Classic Ring,24576,98304,483.145,10.446,468.000,522.000,203.467
Classic Ring,49152,196608,492.315,6.603,485.000,525.000,399.354
Classic Ring,98304,393216,557.540,4.522,549.000,580.000,705.270
Classic Ring,196608,786432,591.200,12.823,583.000,760.000,1330.230
Classic Ring,393216,1572864,600.275,13.352,578.000,650.000,2620.239
Classic Ring,786432,3145728,1819.950,1652.884,1216.000,15727.000,1728.469
Classic Ring,1572864,6291456,1820.540,1719.374,1382.000,21312.000,3455.819
Classic Ring,3145728,12582912,2557.910,1465.788,2008.000,17721.000,4919.216
Classic Ring,6291456,25165824,4137.890,1964.538,3370.000,21333.000,6081.801
Classic Ring,12582912,50331648,7129.565,2798.033,6110.000,31002.000,7059.568
Classic Ring,25165824,100663296,12769.855,2785.651,11426.000,27112.000,7882.885
Classic Ring,50331648,201326592,23619.595,2318.343,22344.000,39206.000,8523.711
Classic Ring,100663296,402653184,45834.650,2651.437,43990.000,65537.000,8784.908
Classic Ring,201326592,805306368,90087.475,2995.617,87982.000,105711.000,8939.160
Classic Ring,402653184,1610612736,179092.730,3283.865,176333.000,198251.000,8993.178
Classic Ring,805306368,3221225472,356475.615,2462.307,353439.000,368242.000,9036.314
Classic Ring,1610612736,6442450944,712880.795,5001.403,706307.000,738790.000,9037.206
Pipelined HD,384,1536,320.355,9.367,309.000,417.000,4.795
Pipelined HD,768,3072,318.725,6.582,310.000,340.000,9.638
Pipelined HD,1536,6144,316.900,5.069,303.000,338.000,19.388
Pipelined HD,3072,12288,326.720,5.913,313.000,342.000,37.610
