Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,406.815,19.740,380.000,533.000,3.776
Pipelined Ring,768,3072,415.965,14.420,394.000,509.000,7.385
Pipelined Ring,1536,6144,446.875,5.955,435.000,469.000,13.749
Pipelined Ring,3072,12288,451.545,8.415,440.000,493.000,27.213
Pipelined Ring,6144,24576,449.585,10.616,439.000,578.000,54.664
Pipelined Ring,12288,49152,453.880,6.670,441.000,483.000,108.293
Pipelined Ring,24576,98304,467.765,18.381,456.000,703.000,210.157
Pipelined Ring,49152,196608,483.385,5.913,471.000,506.000,406.732
Pipelined Ring,98304,393216,536.225,5.632,529.000,563.000,733.304
Pipelined Ring,196608,786432,644.390,9.635,628.000,693.000,1220.429
Pipelined Ring,393216,1572864,755.275,8.305,736.000,796.000,2082.505
Pipelined Ring,786432,3145728,1957.620,2003.824,1335.000,17985.000,1606.915
Pipelined Ring,1572864,6291456,2077.955,1676.452,1523.000,20553.000,3027.715
Pipelined Ring,3145728,12582912,2877.725,1860.232,2020.000,16543.000,4372.521
Pipelined Ring,6291456,25165824,5098.110,4314.704,3375.000,31492.000,4936.305
Pipelined Ring,12582912,50331648,7416.755,4160.975,5280.000,28155.000,6786.209
Pipelined Ring,25165824,100663296,11620.605,3891.370,9350.000,28038.000,8662.483
Pipelined Ring,50331648,201326592,20062.400,4833.943,17657.000,47706.000,10035.020
Pipelined Ring,100663296,402653184,38018.255,5209.798,34349.000,63631.000,10591.049
Pipelined Ring,201326592,805306368,72758.870,5536.458,68043.000,95189.000,11068.154
Pipelined Ring,402653184,1610612736,140945.680,5856.236,136056.000,171406.000,11427.188
Pipelined Ring,805306368,3221225472,278536.725,5407.656,272500.000,306905.000,11564.814
Pipelined Ring,1610612736,6442450944,553479.800,6547.743,545452.000,587975.000,11639.903
Classic Ring,384,1536,310.970,10.587,298.000,356.000,4.939
Classic Ring,768,3072,323.320,5.592,315.000,340.000,9.501
Classic Ring,1536,6144,322.205,5.733,313.000,343.000,19.069
Classic Ring,3072,12288,322.370,5.138,315.000,335.000,38.118
Classic Ring,6144,24576,323.820,5.281,317.000,339.000,75.894
Classic Ring,12288,49152,331.375,6.432,322.000,374.000,148.327
Classic Ring,24576,98304,340.255,4.699,332.000,355.000,288.913
