Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,1838.260,24.475,1831.000,2098.000,0.836
Pipelined Ring,768,3072,1844.125,40.413,1833.000,2227.000,1.666
Pipelined Ring,1536,6144,1836.950,16.180,1833.000,1972.000,3.345
Pipelined Ring,3072,12288,1836.315,13.324,1832.000,1970.000,6.692
Pipelined Ring,6144,24576,1837.620,18.767,1831.000,1975.000,13.374
Pipelined Ring,12288,49152,1846.125,71.019,1832.000,2611.000,26.624
Pipelined Ring,24576,98304,1838.275,20.554,1833.000,1968.000,53.476
Pipelined Ring,49152,196608,1846.120,48.686,1831.000,2360.000,106.498
Pipelined Ring,98304,393216,1876.915,61.270,1833.000,1973.000,209.501
Pipelined Ring,196608,786432,1880.850,63.749,1833.000,2097.000,418.126
Pipelined Ring,393216,1572864,1903.795,71.665,1833.000,2321.000,826.173
Pipelined Ring,786432,3145728,2988.010,2208.348,2297.000,21446.000,1052.784
Pipelined Ring,1572864,6291456,2893.830,1680.676,2278.000,17782.000,2174.093
Pipelined Ring,3145728,12582912,3228.405,1572.273,2584.000,17036.000,3897.5634
Pipelined Ring,6291456,25165824,5315.795,3050.308,4107.000,27848.000,4734.160
Pipelined Ring,12582912,50331648,7200.745,3699.834,5540.000,31393.000,6989.783
Pipelined Ring,25165824,100663296,10847.950,3804.461,9126.000,33697.000,9279.476
Pipelined Ring,50331648,201326592,19373.840,5012.522,16760.000,43749.000,10391.672
Pipelined Ring,100663296,402653184,34853.565,4649.061,31749.000,55893.000,11552.712
Pipelined Ring,201326592,805306368,66751.490,5170.324,62381.000,88540.000,12064.246
Pipelined Ring,402653184,1610612736,127716.495,5038.237,123629.000,156531.000,12610.844
Pipelined Ring,805306368,3221225472,252256.560,5671.386,247101.000,283684.000,12769.640
Pipelined Ring,1610612736,6442450944,499068.975,5817.133,494027.000,525189.000,12908.939
Classic Ring,384,1536,1834.990,1.517,1833.000,1848.000,0.837
Classic Ring,768,3072,1834.995,1.220,1832.000,1842.000,1.674
Classic Ring,1536,6144,1834.990,1.245,1833.000,1842.000,3.348
Classic Ring,3072,12288,1835.000,1.412,1832.000,1844.000,6.696
Classic Ring,6144,24576,1835.630,9.503,1833.000,1967.000,13.388
Classic Ring,12288,49152,1834.990,1.280,1833.000,1843.000,26.786
Classic Ring,24576,98304,1835.610,9.233,1833.000,1965.000,53.554
Classic Ring,49152,196608,1834.995,1.462,1832.000,1844.000,107.144
Classic Ring,98304,393216,1834.980,1.539,1833.000,1843.000,214.289
Classic Ring,196608,786432,1836.285,13.503,1832.000,1969.000,428.273
Classic Ring,393216,1572864,1835.615,9.287,1833.000,1966.000,856.859
Classic Ring,786432,3145728,2996.440,1786.731,2189.000,18661.000,1049.822
Classic Ring,1572864,6291456,3296.995,1802.770,2447.000,15239.000,1908.239
Classic Ring,3145728,12582912,3556.925,2392.257,2500.000,22957.000,3537.581
Classic Ring,6291456,25165824,5134.310,2207.824,4036.000,19125.000,4901.501
Classic Ring,12582912,50331648,7088.060,2635.323,5634.000,27989.000,7100.906
Classic Ring,25165824,100663296,11007.625,2218.342,9660.000,27843.000,9144.870
Classic Ring,50331648,201326592,19495.215,2474.107,17883.000,34490.000,10326.975
Classic Ring,100663296,402653184,36114.530,2815.527,34417.000,55713.000,11149.340
Classic Ring,201326592,805306368,70206.100,2625.476,68105.000,83639.000,11470.604
Classic Ring,402653184,1610612736,137673.425,3230.626,135247.000,155291.000,11698.792
Classic Ring,805306368,3221225472,273520.560,3460.969,270262.000,292348.000,11776.904
Classic Ring,1610612736,6442450944,544958.400,4642.276,540655.000,565856.000,11821.913
Pipelined HD,384,1536,591.110,67.093,523.000,789.000,2.599
Pipelined HD,768,3072,591.160,66.865,524.000,786.000,5.197
Pipelined HD,1536,6144,595.020,70.611,522.000,920.000,10.326
Pipelined HD,3072,12288,591.775,67.174,523.000,787.000,20.765
Pipelined HD,6144,24576,592.420,67.125,523.000,789.000,41.484
Pipelined HD,12288,49152,593.065,68.275,523.000,787.000,82.878
Pipelined HD,24576,98304,613.410,62.738,523.000,787.000,160.258
Pipelined HD,49152,196608,659.920,53.839,650.000,792.000,297.927
Pipelined HD,98304,393216,786.410,74.306,782.000,920.000,500.014
Pipelined HD,196608,786432,810.645,52.684,783.000,1050.000,970.131
Pipelined HD,393216,1572864,870.940,78.795,787.000,1312.000,1805.938
Pipelined HD,786432,3145728,1932.145,1271.187,1375.000,13480.000,1628.101
Pipelined HD,1572864,6291456,3176.970,2840.358,1997.000,20583.000,1980.332
Pipelined HD,3145728,12582912,4085.520,4139.784,2461.000,35717.000,3079.880
Pipelined HD,6291456,25165824,5674.425,4915.918,3497.000,52077.000,4434.956
Pipelined HD,12582912,50331648,8046.820,3797.973,5835.000,26945.000,6254.849
Pipelined HD,25165824,100663296,13079.730,4311.696,10156.000,35004.000,7696.130
Pipelined HD,50331648,201326592,22847.715,5485.838,19587.000,47361.000,8811.673
Pipelined HD,100663296,402653184,41504.440,6298.157,37674.000,92481.000,9701.448
Pipelined HD,201326592,805306368,78370.775,5069.871,74510.000,101418.000,10275.595
Pipelined HD,402653184,1610612736,153727.700,6372.243,148364.000,179315.000,10477.050
Pipelined HD,805306368,3221225472,305383.440,8037.752,298796.000,340827.000,10548.134
Pipelined HD,1610612736,6442450944,606324.155,9847.207,595485.000,646657.000,10625.424
Classic HD,384,1536,524.265,1.068,522.000,533.000,2.930
Classic HD,768,3072,524.265,1.087,523.000,532.000,5.860
Classic HD,1536,6144,524.275,1.262,523.000,532.000,11.719
Classic HD,3072,12288,524.270,1.058,523.000,532.000,23.438
Classic HD,6144,24576,524.260,1.639,523.000,538.000,46.878
Classic HD,12288,49152,524.270,1.001,523.000,531.000,93.753
Classic HD,24576,98304,583.240,65.373,523.000,664.000,168.548
Classic HD,49152,196608,590.440,65.623,523.000,661.000,332.986
Classic HD,98304,393216,591.100,67.140,523.000,787.000,665.228
Classic HD,196608,786432,594.400,68.056,523.000,788.000,1323.069
Classic HD,393216,1572864,1718.260,1242.590,1039.000,12123.000,915.382
Classic HD,786432,3145728,1879.810,1418.160,1163.000,11684.000,1673.429
Classic HD,1572864,6291456,2096.875,1269.831,1493.000,13529.000,3000.396
Classic HD,3145728,12582912,2872.240,1770.753,1875.000,14699.000,4380.871
Classic HD,6291456,25165824,4299.365,2283.001,2998.000,18453.000,5853.382
Classic HD,12582912,50331648,6691.375,2141.478,5423.000,21031.000,7521.869
Classic HD,25165824,100663296,11812.495,2602.743,9906.000,27014.000,8521.764
Classic HD,50331648,201326592,21792.350,3557.235,19526.000,40770.000,9238.407
Classic HD,100663296,402653184,40769.670,3719.714,38448.000,67546.000,9876.292
Classic HD,201326592,805306368,79266.530,3398.076,76648.000,93551.000,10159.475
Classic HD,402653184,1610612736,157898.875,4815.556,153523.000,178633.000,10200.280
Classic HD,805306368,3221225472,313411.935,5339.280,308025.000,340232.000,10277.929
