Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,196.205,5.325,186.000,220.000,7.829
Pipelined Paard,768,3072,188.930,4.883,181.000,206.000,16.260
Pipelined Paard,1536,6144,190.845,5.629,181.000,211.000,32.194
Pipelined Paard,3072,12288,194.500,4.858,185.000,215.000,63.177
Pipelined Paard,6144,24576,198.880,5.456,190.000,238.000,123.572
Pipelined Paard,12288,49152,205.705,4.539,196.000,224.000,238.944
Pipelined Paard,24576,98304,221.210,4.638,213.000,239.000,444.392
Pipelined Paard,49152,196608,252.055,10.255,241.000,359.000,780.020
Pipelined Paard,98304,393216,315.100,43.204,293.000,878.000,1247.909
Pipelined Paard,196608,786432,346.435,17.694,325.000,508.000,2270.071
Pipelined Paard,393216,1572864,400.210,22.510,366.000,539.000,3930.097
Pipelined Paard,786432,3145728,1570.170,1868.071,775.000,15678.000,2003.431
Pipelined Paard,1572864,6291456,2164.995,2957.694,1011.000,30633.000,2905.991
Pipelined Paard,3145728,12582912,3563.780,4646.275,1777.000,36945.000,3530.777
Pipelined Paard,6291456,25165824,4146.595,3277.047,2795.000,25183.000,6069.034
Pipelined Paard,12582912,50331648,7508.820,4525.020,4860.000,38655.000,6703.004
Pipelined Paard,25165824,100663296,13865.355,5140.473,9033.000,32531.000,7260.059
Pipelined Paard,50331648,201326592,21371.645,5646.284,17400.000,48115.000,9420.267
Pipelined Paard,100663296,402653184,40320.590,6087.313,34484.000,83686.000,9986.292
Pipelined Paard,201326592,805306368,75115.780,5549.116,69026.000,97557.000,10720.868
Pipelined Paard,402653184,1610612736,143723.625,6595.222,137324.000,185921.000,11206.319
Pipelined Paard,805306368,3221225472,280257.900,3810.714,274046.000,299363.000,11493.790
Pipelined Paard,1610612736,6442450944,560217.270,8000.623,547137.000,597599.000,11499.915
Classic Paard,384,1536,147.035,3.760,139.000,162.000,10.446
Classic Paard,768,3072,147.420,3.757,140.000,159.000,20.838
Classic Paard,1536,6144,147.880,4.053,143.000,174.000,41.547
Classic Paard,3072,12288,148.120,3.317,144.000,165.000,82.960
Classic Paard,6144,24576,154.255,6.799,146.000,188.000,159.321
Classic Paard,12288,49152,160.710,4.892,150.000,175.000,305.843
Classic Paard,24576,98304,175.215,7.395,168.000,233.000,561.048
Classic Paard,49152,196608,202.530,5.079,194.000,218.000,970.760
Classic Paard,98304,393216,233.035,6.279,222.000,257.000,1687.369
Classic Paard,196608,786432,261.395,11.492,242.000,321.000,3008.596
Classic Paard,393216,1572864,321.265,18.647,295.000,413.000,4895.846
Classic Paard,786432,3145728,1547.620,1593.404,701.000,12354.000,2032.623
Classic Paard,1572864,6291456,2654.995,2391.157,946.000,14725.000,2369.668
Classic Paard,3145728,12582912,3308.205,2464.521,1451.000,17842.000,3803.547
Classic Paard,6291456,25165824,4665.160,2559.224,2456.000,15776.000,5394.418
Classic Paard,12582912,50331648,6966.170,2746.042,4561.000,22339.000,7225.154
Classic Paard,25165824,100663296,11712.690,2734.337,8783.000,28736.000,8594.379
Classic Paard,50331648,201326592,20130.765,2522.320,17214.000,29308.000,10000.941
Classic Paard,100663296,402653184,37996.185,3057.093,34423.000,53515.000,10597.200
Classic Paard,201326592,805306368,72311.310,3582.648,68456.000,94202.000,11136.659
Classic Paard,402653184,1610612736,140894.335,2825.350,137322.000,152061.000,11431.352
Classic Paard,805306368,3221225472,280069.310,3847.817,274222.000,301209.000,11501.530
Classic Paard,1610612736,6442450944,553932.565,3759.331,547072.000,568689.000,11630.389
Pipelined Ring,384,1536,358.330,5.355,350.000,374.000,4.287
Pipelined Ring,768,3072,360.110,4.987,351.000,384.000,8.531
Pipelined Ring,1536,6144,354.605,12.072,345.000,499.000,17.326
Pipelined Ring,3072,12288,356.980,5.440,346.000,377.000,34.422
Pipelined Ring,6144,24576,357.875,5.355,349.000,375.000,68.672
Pipelined Ring,12288,49152,361.380,6.540,352.000,411.000,136.012
Pipelined Ring,24576,98304,375.525,9.422,366.000,475.000,261.778
Pipelined Ring,49152,196608,396.095,6.090,387.000,415.000,496.366
Pipelined Ring,98304,393216,445.640,6.151,435.000,468.000,882.362
Pipelined Ring,196608,786432,530.320,7.983,515.000,560.000,1482.939
Pipelined Ring,393216,1572864,591.090,8.172,574.000,618.000,2660.955
Pipelined Ring,786432,3145728,2062.495,2201.842,945.000,15931.000,1525.205
Pipelined Ring,1572864,6291456,2078.795,1830.290,1141.000,13445.000,3026.492
Pipelined Ring,3145728,12582912,2910.975,2532.820,1543.000,21703.000,4322.576
Pipelined Ring,6291456,25165824,4495.675,3841.730,2642.000,23565.000,5597.785
Pipelined Ring,12582912,50331648,7202.265,4765.472,4360.000,40920.000,6988.308
Pipelined Ring,25165824,100663296,10224.945,4714.132,7930.000,33867.000,9844.874
Pipelined Ring,50331648,201326592,18831.315,6055.881,15132.000,53823.000,10691.053
Pipelined Ring,100663296,402653184,34843.725,6558.123,29919.000,69986.000,11555.974
Pipelined Ring,201326592,805306368,65839.725,7695.793,59506.000,98652.000,12231.314
Pipelined Ring,402653184,1610612736,125920.410,9529.365,118842.000,165735.000,12790.720
Pipelined Ring,805306368,3221225472,245746.250,7931.220,238073.000,280716.000,13107.933
Pipelined Ring,1610612736,6442450944,482495.660,8489.921,474986.000,520384.000,13352.350
Classic Ring,384,1536,283.020,7.161,271.000,299.000,5.427
Classic Ring,768,3072,281.615,7.842,270.000,299.000,10.909
Classic Ring,1536,6144,279.685,8.233,265.000,297.000,21.968
Classic Ring,3072,12288,275.330,7.336,265.000,296.000,44.630
Classic Ring,6144,24576,275.375,7.812,262.000,314.000,89.246
Classic Ring,12288,49152,282.195,8.312,266.000,320.000,174.177
Classic Ring,24576,98304,299.860,8.188,283.000,331.000,327.833
Classic Ring,49152,196608,323.030,12.448,301.000,419.000,608.637
Classic Ring,98304,393216,379.775,10.673,360.000,414.000,1035.392
Classic Ring,196608,786432,417.320,11.791,391.000,447.000,1884.482
Classic Ring,393216,1572864,454.825,14.425,429.000,514.000,3458.174
Classic Ring,786432,3145728,1857.205,2268.998,833.000,14375.000,1693.797
Classic Ring,1572864,6291456,2006.495,2021.824,1041.000,15947.000,3135.545
Classic Ring,3145728,12582912,2356.460,2038.287,1468.000,19114.000,5339.752
Classic Ring,6291456,25165824,3863.825,2525.051,2369.000,20615.000,6513.189
Classic Ring,12582912,50331648,6013.430,2361.613,4161.000,16211.000,8369.873
Classic Ring,25165824,100663296,10464.035,3050.377,8118.000,27943.000,9619.931
Classic Ring,50331648,201326592,19179.045,3330.653,16241.000,37164.000,10497.217
Classic Ring,100663296,402653184,35672.220,3742.068,32634.000,54126.000,11287.584
Classic Ring,201326592,805306368,69952.525,4893.506,65539.000,88101.000,11512.184
Classic Ring,402653184,1610612736,135486.875,4866.599,131069.000,160382.000,11887.592
Classic Ring,805306368,3221225472,267371.750,5919.987,262120.000,297889.000,12047.741
Classic Ring,1610612736,6442450944,526525.070,4861.478,521100.000,549867.000,12235.791
