Running in Release Mode
HD will be skipped as n_ranks is not a power of 2
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Paard,384,1536,194.670,4.885,185.000,227.000,7.890
Pipelined Paard,768,3072,190.165,4.492,181.000,206.000,16.154
Pipelined Paard,1536,6144,191.095,11.260,182.000,334.000,32.152
Pipelined Paard,3072,12288,192.550,4.331,184.000,207.000,63.817
Pipelined Paard,6144,24576,206.425,139.329,188.000,2170.000,119.055
Pipelined Paard,12288,49152,205.285,10.281,197.000,335.000,239.433
Pipelined Paard,24576,98304,222.265,4.354,212.000,245.000,442.283
Pipelined Paard,49152,196608,263.725,132.324,241.000,2124.000,745.504
Pipelined Paard,98304,393216,309.910,19.418,293.000,474.000,1268.807
Pipelined Paard,196608,786432,352.560,18.958,332.000,505.000,2230.633
Pipelined Paard,393216,1572864,400.020,25.305,367.000,537.000,3931.963
Pipelined Paard,786432,3145728,1627.745,1837.990,770.000,15099.000,1932.568
Pipelined Paard,1572864,6291456,2413.700,2616.724,1009.000,21243.000,2606.561
Pipelined Paard,3145728,12582912,4229.420,4600.282,1778.000,39660.000,2975.092
Pipelined Paard,6291456,25165824,4540.015,3444.046,2788.000,19803.000,5543.115
Pipelined Paard,12582912,50331648,7594.410,4112.111,4867.000,23991.000,6627.460
Pipelined Paard,25165824,100663296,11531.890,4251.920,9024.000,35969.000,8729.124
Pipelined Paard,50331648,201326592,21888.980,5710.747,17380.000,45562.000,9197.623
Pipelined Paard,100663296,402653184,39586.915,5250.122,34296.000,74308.000,10171.371
Pipelined Paard,201326592,805306368,74092.105,5135.656,68651.000,92045.000,10868.990
Pipelined Paard,402653184,1610612736,141735.945,4368.476,136435.000,169530.000,11363.474
Pipelined Paard,805306368,3221225472,281429.025,4453.049,274335.000,302121.000,11445.960
Pipelined Paard,1610612736,6442450944,559281.660,6816.521,545853.000,597999.000,11519.153
Classic Paard,384,1536,147.220,3.223,142.000,163.000,10.433
Classic Paard,768,3072,147.390,2.489,143.000,162.000,20.843
Classic Paard,1536,6144,147.460,2.633,143.000,165.000,41.666
Classic Paard,3072,12288,149.055,3.194,145.000,173.000,82.439
Classic Paard,6144,24576,155.465,4.119,149.000,178.000,158.081
Classic Paard,12288,49152,160.685,3.181,155.000,173.000,305.890
Classic Paard,24576,98304,178.085,3.720,170.000,190.000,552.006
Classic Paard,49152,196608,201.490,4.261,195.000,217.000,975.771
Classic Paard,98304,393216,237.110,6.804,226.000,261.000,1658.370
Classic Paard,196608,786432,260.745,10.532,243.000,303.000,3016.096
Classic Paard,393216,1572864,314.465,11.464,297.000,356.000,5001.714
Classic Paard,786432,3145728,1129.960,1067.039,697.000,6048.000,2783.929
Classic Paard,1572864,6291456,1891.060,2319.349,943.000,19190.000,3326.947
Classic Paard,3145728,12582912,3271.100,2562.825,1467.000,16198.000,3846.691
Classic Paard,6291456,25165824,4382.465,2505.430,2485.000,22838.000,5742.390
Classic Paard,12582912,50331648,6547.705,3340.167,4519.000,28069.000,7686.914
Classic Paard,25165824,100663296,11362.120,2489.289,8737.000,22638.000,8859.552
Classic Paard,50331648,201326592,20408.310,3005.321,17295.000,37082.000,9864.932
Classic Paard,100663296,402653184,38220.160,3504.185,34523.000,54399.000,10535.099
Classic Paard,201326592,805306368,72350.705,3133.734,68853.000,89606.000,11130.595
Classic Paard,402653184,1610612736,140369.640,2282.335,137319.000,149748.000,11474.082
Classic Paard,805306368,3221225472,279980.435,4261.662,273808.000,304570.000,11505.181
Classic Paard,1610612736,6442450944,553425.445,3502.194,548243.000,566093.000,11641.046
Pipelined Ring,384,1536,360.900,6.194,350.000,385.000,4.256
Pipelined Ring,768,3072,361.915,5.002,353.000,378.000,8.488
Pipelined Ring,1536,6144,355.585,4.572,347.000,371.000,17.279
Pipelined Ring,3072,12288,356.335,5.310,349.000,378.000,34.484
Pipelined Ring,6144,24576,358.710,4.482,350.000,375.000,68.512
Pipelined Ring,12288,49152,364.210,7.325,354.000,415.000,134.955
Pipelined Ring,24576,98304,377.585,7.369,367.000,439.000,260.349
Pipelined Ring,49152,196608,398.355,7.296,388.000,428.000,493.550
Pipelined Ring,98304,393216,450.620,7.330,438.000,484.000,872.611
Pipelined Ring,196608,786432,530.725,7.845,517.000,561.000,1481.807
Pipelined Ring,393216,1572864,593.640,17.226,577.000,748.000,2649.525
Pipelined Ring,786432,3145728,1800.435,2141.212,941.000,15529.000,1747.204
Pipelined Ring,1572864,6291456,2303.055,2382.316,1148.000,19531.000,2731.787
Pipelined Ring,3145728,12582912,3017.775,2138.965,1537.000,15416.000,4169.599
Pipelined Ring,6291456,25165824,3961.715,3596.247,2633.000,32662.000,6352.255
Pipelined Ring,12582912,50331648,6123.085,3816.900,4362.000,28178.000,8219.982
Pipelined Ring,25165824,100663296,11264.915,5318.586,7958.000,39033.000,8936.001
Pipelined Ring,50331648,201326592,19581.100,5869.652,15152.000,46278.000,10281.679
Pipelined Ring,100663296,402653184,34783.245,5397.689,29887.000,67612.000,11576.067
Pipelined Ring,201326592,805306368,65118.980,8379.382,59500.000,104754.000,12366.692
Pipelined Ring,402653184,1610612736,126466.370,8430.899,119288.000,166605.000,12735.502
Pipelined Ring,805306368,3221225472,244379.285,7384.693,237605.000,281637.000,13181.254
Pipelined Ring,1610612736,6442450944,482828.330,10006.988,475510.000,528488.000,13343.150
Classic Ring,384,1536,280.170,7.675,266.000,303.000,5.482
Classic Ring,768,3072,280.440,7.332,267.000,305.000,10.954
Classic Ring,1536,6144,279.720,8.216,264.000,303.000,21.965
Classic Ring,3072,12288,277.435,7.246,263.000,297.000,44.291
Classic Ring,6144,24576,280.185,6.576,268.000,304.000,87.713
Classic Ring,12288,49152,289.915,8.911,275.000,313.000,169.539
Classic Ring,24576,98304,300.605,9.113,283.000,330.000,327.021
Classic Ring,49152,196608,325.625,16.254,299.000,470.000,603.787
Classic Ring,98304,393216,376.580,12.552,358.000,486.000,1044.177
Classic Ring,196608,786432,426.915,8.985,407.000,465.000,1842.128
Classic Ring,393216,1572864,453.875,16.222,427.000,565.000,3465.412
Classic Ring,786432,3145728,1815.355,2173.945,831.000,14235.000,1732.845
Classic Ring,1572864,6291456,1891.515,1923.921,1055.000,13566.000,3326.147
Classic Ring,3145728,12582912,2914.835,2635.762,1488.000,16250.000,4316.852
Classic Ring,6291456,25165824,4454.630,3268.366,2374.000,29298.000,5649.363
Classic Ring,12582912,50331648,6006.150,3525.421,4172.000,39390.000,8380.018
Classic Ring,25165824,100663296,10128.915,2546.351,8112.000,21536.000,9938.211
Classic Ring,50331648,201326592,18832.590,3391.004,16189.000,40357.000,10690.329
Classic Ring,100663296,402653184,35942.760,3773.026,32753.000,58979.000,11202.623
Classic Ring,201326592,805306368,69258.165,5725.785,65641.000,99783.000,11627.602
Classic Ring,402653184,1610612736,135181.460,5427.864,131438.000,153595.000,11914.450
Classic Ring,805306368,3221225472,268336.030,4834.451,263151.000,292419.000,12004.446
