Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,636.170,14.055,614.000,686.000,2.414
Pipelined Ring,768,3072,617.020,16.832,604.000,832.000,4.979
Pipelined Ring,1536,6144,632.730,17.210,606.000,768.000,9.710
Pipelined Ring,3072,12288,628.280,12.236,614.000,738.000,19.558
Pipelined Ring,6144,24576,623.780,10.468,608.000,737.000,39.399
Pipelined Ring,12288,49152,629.210,25.012,615.000,973.000,78.117
Pipelined Ring,24576,98304,636.665,12.672,626.000,756.000,154.405
Pipelined Ring,49152,196608,654.350,11.270,644.000,750.000,300.463
Pipelined Ring,98304,393216,706.775,6.198,698.000,732.000,556.352
Pipelined Ring,196608,786432,800.980,27.325,788.000,1077.000,981.837
Pipelined Ring,393216,1572864,967.595,18.326,953.000,1188.000,1625.540
Pipelined Ring,786432,3145728,2029.215,1619.790,1639.000,23171.000,1550.219
Pipelined Ring,1572864,6291456,2384.310,1668.493,1733.000,14243.000,2638.690
Pipelined Ring,3145728,12582912,2971.275,2556.078,2199.000,26486.000,4234.853
Pipelined Ring,6291456,25165824,3573.275,1287.935,3110.000,13606.000,7042.790
Pipelined Ring,12582912,50331648,7438.600,4197.781,5361.000,29945.000,6766.280
Pipelined Ring,25165824,100663296,11438.085,4265.740,9005.000,30258.000,8800.712
Pipelined Ring,50331648,201326592,19706.080,4996.875,16656.000,43750.000,10216.471
Pipelined Ring,100663296,402653184,34535.910,5052.137,31923.000,63118.000,11658.971
Pipelined Ring,201326592,805306368,66884.070,5165.094,62875.000,89712.000,12040.331
Pipelined Ring,402653184,1610612736,128619.765,4237.130,125210.000,149684.000,12522.280
Pipelined Ring,805306368,3221225472,256428.805,5414.930,250331.000,289384.000,12561.871
Pipelined Ring,1610612736,6442450944,506163.365,5515.794,501191.000,536296.000,12728.007
Classic Ring,384,1536,330.510,11.711,317.000,422.000,4.647
Classic Ring,768,3072,325.610,5.372,319.000,339.000,9.435
Classic Ring,1536,6144,319.745,4.170,314.000,331.000,19.215
Classic Ring,3072,12288,320.530,4.287,313.000,333.000,38.337
Classic Ring,6144,24576,323.920,5.293,317.000,345.000,75.871
Classic Ring,12288,49152,329.580,4.966,323.000,372.000,149.135
Classic Ring,24576,98304,339.880,4.910,333.000,361.000,289.231
Classic Ring,49152,196608,358.110,12.731,346.000,518.000,549.016
Classic Ring,98304,393216,444.810,10.127,433.000,558.000,884.009
Classic Ring,196608,786432,490.295,8.000,480.000,513.000,1603.998
Classic Ring,393216,1572864,528.695,13.163,512.000,567.000,2974.993
Classic Ring,786432,3145728,1501.295,1456.017,1045.000,16610.000,2095.343
Classic Ring,1572864,6291456,1681.820,1607.805,1263.000,21707.000,3740.862
Classic Ring,3145728,12582912,2206.865,1299.205,1752.000,12617.000,5701.714
Classic Ring,6291456,25165824,3249.320,1285.383,2769.000,13358.000,7744.951
Classic Ring,12582912,50331648,5850.220,2618.800,4795.000,29854.000,8603.377
Classic Ring,25165824,100663296,10230.190,2673.190,8833.000,27804.000,9839.827
Classic Ring,50331648,201326592,18878.100,2595.911,17342.000,36237.000,10664.558
Classic Ring,100663296,402653184,35627.080,2761.175,34166.000,53248.000,11301.886
Classic Ring,201326592,805306368,70058.250,2444.851,68448.000,84901.000,11494.811
Classic Ring,402653184,1610612736,140151.225,4326.302,136952.000,164775.000,11491.963
Classic Ring,805306368,3221225472,278097.650,3243.849,274308.000,297605.000,11583.073
Classic Ring,1610612736,6442450944,554967.485,5219.708,548260.000,576793.000,11608.700
Pipelined HD,384,1536,515.135,27.747,471.000,794.000,2.982
Pipelined HD,768,3072,476.340,11.393,465.000,586.000,6.449
Pipelined HD,1536,6144,476.755,52.220,461.000,1192.000,12.887
Pipelined HD,3072,12288,481.395,77.978,462.000,1364.000,25.526
Pipelined HD,6144,24576,475.590,9.688,463.000,584.000,51.675
Pipelined HD,12288,49152,490.485,12.060,480.000,618.000,100.211
Pipelined HD,24576,98304,507.455,8.850,496.000,571.000,193.720
Pipelined HD,49152,196608,536.185,9.566,525.000,650.000,366.679
Pipelined HD,98304,393216,622.545,16.020,609.000,762.000,631.627
Pipelined HD,196608,786432,739.895,14.280,725.000,911.000,1062.897
Pipelined HD,393216,1572864,830.010,16.229,802.000,881.000,1894.994
Pipelined HD,786432,3145728,2189.600,1676.770,1424.000,14804.000,1436.668
Pipelined HD,1572864,6291456,2566.115,2116.672,1733.000,22648.000,2451.744
Pipelined HD,3145728,12582912,4356.845,3898.686,2647.000,29539.000,2888.079
Pipelined HD,6291456,25165824,5547.945,4039.347,3710.000,29750.000,4536.062
Pipelined HD,12582912,50331648,8144.370,4452.670,5654.000,39725.000,6179.931
Pipelined HD,25165824,100663296,12903.565,4440.305,10205.000,38222.000,7801.200
Pipelined HD,50331648,201326592,21491.980,4317.301,19086.000,45432.000,9367.522
Pipelined HD,100663296,402653184,40813.055,5248.784,37139.000,61862.000,9865.794
Pipelined HD,201326592,805306368,77152.980,4859.533,73408.000,95763.000,10437.787
Pipelined HD,402653184,1610612736,151195.050,6494.194,146009.000,180284.000,10652.549
Pipelined HD,805306368,3221225472,299824.080,6097.292,294088.000,329725.000,10743.718
Pipelined HD,1610612736,6442450944,598294.405,10046.111,587170.000,640072.000,10768.028
Classic HD,384,1536,149.570,3.929,145.000,166.000,10.269
Classic HD,768,3072,149.120,3.630,145.000,164.000,20.601
Classic HD,1536,6144,154.930,2.776,147.000,165.000,39.657
Classic HD,3072,12288,157.020,4.457,153.000,173.000,78.258
Classic HD,6144,24576,163.855,5.764,157.000,182.000,149.986
Classic HD,12288,49152,170.250,7.139,162.000,215.000,288.705
Classic HD,24576,98304,188.545,3.587,183.000,210.000,521.382
Classic HD,49152,196608,216.315,4.909,209.000,237.000,908.897
Classic HD,98304,393216,240.450,7.384,228.000,268.000,1635.334
Classic HD,196608,786432,284.190,14.904,263.000,367.000,2767.275
Classic HD,393216,1572864,1523.280,1620.335,858.000,10926.000,1032.551
Classic HD,786432,3145728,1622.935,1980.991,943.000,14091.000,1938.296
Classic HD,1572864,6291456,1927.005,1705.986,1225.000,16786.000,3264.888
Classic HD,3145728,12582912,2871.335,2031.994,1702.000,14399.000,4382.251
Classic HD,6291456,25165824,4011.050,2339.170,2892.000,18811.000,6274.124
Classic HD,12582912,50331648,6704.545,2980.582,5120.000,27955.000,7507.094
Classic HD,25165824,100663296,11788.920,3083.667,9831.000,29740.000,8538.806
Classic HD,50331648,201326592,21569.820,3312.705,19505.000,45744.000,9333.717
Classic HD,100663296,402653184,41634.220,3689.457,38811.000,66838.000,9671.208
Classic HD,201326592,805306368,81024.975,4170.792,77567.000,103209.000,9938.989
Classic HD,402653184,1610612736,160386.805,5624.573,155027.000,187563.000,10042.053
Classic HD,805306368,3221225472,317224.220,6153.124,311116.000,340397.000,10154.412
