Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,412.550,15.237,390.000,488.000,3.723
Pipelined Ring,768,3072,408.955,44.170,384.000,1005.000,7.512
Pipelined Ring,1536,6144,397.350,4.873,390.000,426.000,15.462
Pipelined Ring,3072,12288,397.530,22.197,390.000,706.000,30.911
Pipelined Ring,6144,24576,398.005,15.143,386.000,527.000,61.748
Pipelined Ring,12288,49152,402.680,34.401,391.000,882.000,122.062
Pipelined Ring,24576,98304,413.455,39.961,401.000,932.000,237.762
Pipelined Ring,49152,196608,429.745,4.756,423.000,447.000,457.499
Pipelined Ring,98304,393216,494.460,5.351,486.000,512.000,795.243
Pipelined Ring,196608,786432,605.430,5.052,596.000,627.000,1298.964
Pipelined Ring,393216,1572864,679.220,56.721,661.000,1424.000,2315.692
Pipelined Ring,786432,3145728,1764.655,1269.770,1221.000,14311.000,1782.631
Pipelined Ring,1572864,6291456,1947.635,1358.471,1497.000,14085.000,3230.305
Pipelined Ring,3145728,12582912,2402.870,1442.611,1869.000,16581.000,5236.618
Pipelined Ring,6291456,25165824,4562.830,3367.125,3302.000,30886.000,5515.398
Pipelined Ring,12582912,50331648,7166.400,4081.486,5011.000,29328.000,7023.282
Pipelined Ring,25165824,100663296,11238.605,4277.593,8731.000,35238.000,8956.921
Pipelined Ring,50331648,201326592,19209.790,4087.757,16512.000,36847.000,10480.416
Pipelined Ring,100663296,402653184,34597.085,5374.442,31773.000,71398.000,11638.356
Pipelined Ring,201326592,805306368,66671.710,4624.465,62935.000,84228.000,12078.682
Pipelined Ring,402653184,1610612736,129760.915,5115.703,125305.000,155170.000,12412.156
Pipelined Ring,805306368,3221225472,257113.750,5557.365,251969.000,281732.000,12528.406
Pipelined Ring,1610612736,6442450944,509359.160,6594.571,502664.000,543113.000,12648.150
Classic Ring,384,1536,330.330,9.300,314.000,358.000,4.650
Classic Ring,768,3072,326.270,3.839,316.000,344.000,9.416
Classic Ring,1536,6144,321.045,4.340,312.000,338.000,19.138
Classic Ring,3072,12288,323.285,4.653,316.000,356.000,38.010
Classic Ring,6144,24576,327.200,4.224,319.000,361.000,75.110
Classic Ring,12288,49152,328.070,3.710,324.000,341.000,149.822
Classic Ring,24576,98304,338.720,5.136,330.000,359.000,290.222
Classic Ring,49152,196608,370.115,9.017,359.000,426.000,531.208
Classic Ring,98304,393216,442.745,7.094,432.000,468.000,888.132
Classic Ring,196608,786432,500.545,7.192,487.000,522.000,1571.151
Classic Ring,393216,1572864,532.805,18.710,514.000,711.000,2952.044
Classic Ring,786432,3145728,1518.820,1016.133,1155.000,12029.000,2071.166
Classic Ring,1572864,6291456,1761.470,1630.882,1257.000,17582.000,3571.708
Classic Ring,3145728,12582912,2130.685,852.136,1786.000,9205.000,5905.571
Classic Ring,6291456,25165824,3297.645,1750.716,2817.000,22797.000,7631.453
Classic Ring,12582912,50331648,5619.735,1759.138,4806.000,20073.000,8956.232
Classic Ring,25165824,100663296,9920.880,2382.438,8835.000,24071.000,10146.610
Classic Ring,50331648,201326592,18966.625,2905.943,17342.000,39002.000,10614.782
Classic Ring,100663296,402653184,35995.765,2525.036,34111.000,52290.000,11186.127
Classic Ring,201326592,805306368,70540.205,3174.803,68333.000,92271.000,11416.275
Classic Ring,402653184,1610612736,139647.550,3517.269,136787.000,154937.000,11533.412
Classic Ring,805306368,3221225472,277529.180,3124.683,274430.000,296226.000,11606.799
Classic Ring,1610612736,6442450944,555531.070,5049.347,549309.000,579076.000,11596.923
Pipelined HD,384,1536,268.265,4.805,260.000,292.000,5.726
Pipelined HD,768,3072,269.020,6.567,260.000,336.000,11.419
Pipelined HD,1536,6144,262.875,4.876,254.000,290.000,23.372
Pipelined HD,3072,12288,266.590,4.754,258.000,282.000,46.093
Pipelined HD,6144,24576,269.665,4.896,260.000,288.000,91.135
Pipelined HD,12288,49152,282.130,6.330,273.000,318.000,174.218
Pipelined HD,24576,98304,294.630,5.149,288.000,315.000,333.652
Pipelined HD,49152,196608,338.400,11.101,329.000,484.000,580.993
Pipelined HD,98304,393216,399.465,23.912,385.000,638.000,984.357
Pipelined HD,196608,786432,440.495,7.398,427.000,475.000,1785.337
Pipelined HD,393216,1572864,522.730,39.401,491.000,993.000,3008.942
Pipelined HD,786432,3145728,1366.920,696.895,1150.000,10155.000,2301.326
Pipelined HD,1572864,6291456,3024.785,2994.021,1825.000,19967.000,2079.968
Pipelined HD,3145728,12582912,3541.170,2956.375,2285.000,19006.000,3553.321
Pipelined HD,6291456,25165824,4963.685,3516.764,3316.000,33951.000,5069.988
Pipelined HD,12582912,50331648,7554.465,4122.434,5478.000,30661.000,6662.503
Pipelined HD,25165824,100663296,12571.715,4666.783,10159.000,38454.000,8007.125
Pipelined HD,50331648,201326592,22699.750,5076.126,19434.000,42859.000,8869.111
Pipelined HD,100663296,402653184,42445.175,6681.977,37842.000,73369.000,9486.430
Pipelined HD,201326592,805306368,79991.295,6466.223,75297.000,105988.000,10067.425
Pipelined HD,402653184,1610612736,156309.635,7815.208,149942.000,189828.000,10303.989
Pipelined HD,805306368,3221225472,309385.200,8170.243,302113.000,349274.000,10411.699
Pipelined HD,1610612736,6442450944,613703.275,9752.170,602079.000,660524.000,10497.664
Classic HD,384,1536,156.260,3.335,151.000,169.000,9.830
Classic HD,768,3072,156.035,3.858,152.000,171.000,19.688
Classic HD,1536,6144,156.845,5.170,153.000,196.000,39.172
Classic HD,3072,12288,157.630,3.529,153.000,175.000,77.955
Classic HD,6144,24576,164.105,3.926,160.000,178.000,149.758
Classic HD,12288,49152,170.435,4.771,163.000,198.000,288.391
Classic HD,24576,98304,191.100,3.853,185.000,206.000,514.411
Classic HD,49152,196608,221.755,13.848,210.000,308.000,886.600
Classic HD,98304,393216,243.615,11.179,231.000,322.000,1614.088
Classic HD,196608,786432,277.485,8.189,265.000,319.000,2834.142
Classic HD,393216,1572864,1225.435,725.946,811.000,6763.000,1283.515
Classic HD,786432,3145728,1444.650,1239.170,909.000,11335.000,2177.502
Classic HD,1572864,6291456,1945.390,2089.934,1200.000,22899.000,3234.033
Classic HD,3145728,12582912,2593.995,1496.690,1744.000,15244.000,4850.785
Classic HD,6291456,25165824,3974.550,1934.133,2855.000,19943.000,6331.742
Classic HD,12582912,50331648,6491.995,2203.144,5095.000,25122.000,7752.878
Classic HD,25165824,100663296,11787.750,2917.984,9834.000,29303.000,8539.653
Classic HD,50331648,201326592,21624.560,3195.617,19414.000,39849.000,9310.090
Classic HD,100663296,402653184,41586.100,4285.844,38932.000,65563.000,9682.398
Classic HD,201326592,805306368,81357.325,4498.649,77558.000,101433.000,9898.388
Classic HD,402653184,1610612736,160267.130,5676.689,155058.000,187942.000,10049.551
Classic HD,805306368,3221225472,317639.155,6282.921,311764.000,343660.000,10141.147
