Running in Release Mode
PAARD will be skipped as n_ranks != 6
NCCL version 2.24.3+cuda12.4
impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
Pipelined Ring,384,1536,427.925,131.316,395.000,2264.000,3.589
Pipelined Ring,768,3072,434.140,37.093,395.000,577.000,7.076
Pipelined Ring,1536,6144,463.020,48.879,444.000,976.000,13.269
Pipelined Ring,3072,12288,454.180,10.063,445.000,550.000,27.055
Pipelined Ring,6144,24576,455.920,11.691,446.000,587.000,53.904
Pipelined Ring,12288,49152,468.550,52.858,451.000,916.000,104.902
Pipelined Ring,24576,98304,470.725,5.137,462.000,490.000,208.835
Pipelined Ring,49152,196608,497.610,26.126,484.000,810.000,395.105
Pipelined Ring,98304,393216,546.620,5.061,539.000,565.000,719.359
Pipelined Ring,196608,786432,645.785,27.820,634.000,961.000,1217.792
Pipelined Ring,393216,1572864,737.815,13.413,720.000,799.000,2131.786
Pipelined Ring,786432,3145728,1795.140,1231.279,1308.000,12862.000,1752.358
Pipelined Ring,1572864,6291456,2045.520,1796.771,1530.000,20866.000,3075.725
Pipelined Ring,3145728,12582912,2871.575,2459.425,1970.000,17640.000,4381.885
Pipelined Ring,6291456,25165824,4285.550,3120.922,3314.000,34687.000,5872.251
Pipelined Ring,12582912,50331648,6384.915,3370.849,5076.000,33308.000,7882.900
Pipelined Ring,25165824,100663296,11160.610,3932.745,8869.000,29887.000,9019.516
Pipelined Ring,50331648,201326592,18993.680,6311.016,16546.000,84760.000,10599.662
Pipelined Ring,100663296,402653184,35367.620,4969.307,32211.000,58911.000,11384.797
Pipelined Ring,201326592,805306368,67369.610,4936.012,63884.000,90565.000,11953.555
Pipelined Ring,402653184,1610612736,129406.755,2713.931,127108.000,149357.000,12446.126
Pipelined Ring,805306368,3221225472,260410.265,6075.009,254893.000,290479.000,12369.810
Pipelined Ring,1610612736,6442450944,516846.985,6421.418,511790.000,539480.000,12464.910
Classic Ring,384,1536,308.465,11.334,291.000,346.000,4.979
Classic Ring,768,3072,308.870,3.096,303.000,323.000,9.946
Classic Ring,1536,6144,306.155,4.667,300.000,336.000,20.068
Classic Ring,3072,12288,308.445,4.275,302.000,331.000,39.839
Classic Ring,6144,24576,310.480,3.426,306.000,329.000,79.155
Classic Ring,12288,49152,318.115,9.096,312.000,392.000,154.510
Classic Ring,24576,98304,330.370,4.232,325.000,352.000,297.557
Classic Ring,49152,196608,361.025,4.857,355.000,383.000,544.583
Classic Ring,98304,393216,434.835,5.555,425.000,452.000,904.288
Classic Ring,196608,786432,495.590,4.631,490.000,514.000,1586.860
Classic Ring,393216,1572864,516.245,6.299,508.000,540.000,3046.739
Classic Ring,786432,3145728,1596.745,1328.629,1064.000,11792.000,1970.088
Classic Ring,1572864,6291456,1726.835,1157.042,1293.000,10564.000,3643.345
Classic Ring,3145728,12582912,2214.500,1351.772,1784.000,12241.000,5682.056
Classic Ring,6291456,25165824,3154.875,1405.317,2645.000,16120.000,7976.805
Classic Ring,12582912,50331648,5678.425,2853.678,4470.000,24030.000,8863.663
Classic Ring,25165824,100663296,9643.740,2585.972,8256.000,24860.000,10438.201
Classic Ring,50331648,201326592,17612.705,2206.936,16167.000,30944.000,11430.759
Classic Ring,100663296,402653184,34039.310,2708.833,32170.000,49611.000,11829.064
Classic Ring,201326592,805306368,66517.905,3090.763,64411.000,84266.000,12106.611
Classic Ring,402653184,1610612736,131526.640,3269.667,129204.000,149755.000,12245.525
Classic Ring,805306368,3221225472,263583.600,4028.769,259894.000,288739.000,12220.887
Classic Ring,1610612736,6442450944,527011.685,5828.655,521799.000,555352.000,12224.494
Pipelined HD,384,1536,269.880,3.737,263.000,289.000,5.691
Pipelined HD,768,3072,268.930,4.745,261.000,289.000,11.423
Pipelined HD,1536,6144,266.900,6.292,261.000,326.000,23.020
Pipelined HD,3072,12288,271.045,15.965,263.000,440.000,45.336
Pipelined HD,6144,24576,273.625,5.313,266.000,328.000,89.816
Pipelined HD,12288,49152,284.880,7.352,275.000,331.000,172.536
Pipelined HD,24576,98304,300.385,5.259,292.000,322.000,327.260
Pipelined HD,49152,196608,342.490,11.820,333.000,492.000,574.055
Pipelined HD,98304,393216,400.910,12.487,390.000,513.000,980.809
Pipelined HD,196608,786432,440.995,9.824,425.000,475.000,1783.313
Pipelined HD,393216,1572864,525.430,27.225,495.000,697.000,2993.480
Pipelined HD,786432,3145728,1461.860,1058.681,1106.000,13901.000,2151.867
Pipelined HD,1572864,6291456,2459.750,1994.650,1774.000,24942.000,2557.762
Pipelined HD,3145728,12582912,3294.410,2671.530,2240.000,23449.000,3819.474
Pipelined HD,6291456,25165824,4868.075,3984.609,3250.000,36341.000,5169.564
Pipelined HD,12582912,50331648,7679.765,4283.682,5327.000,30499.000,6553.801
Pipelined HD,25165824,100663296,12517.010,4297.868,9515.000,36526.000,8042.120
Pipelined HD,50331648,201326592,22114.895,5461.251,18521.000,45729.000,9103.665
Pipelined HD,100663296,402653184,40184.680,5687.146,36188.000,70347.000,10020.067
Pipelined HD,201326592,805306368,77041.650,6885.444,71687.000,104814.000,10452.870
Pipelined HD,402653184,1610612736,149111.795,6753.369,143178.000,182029.000,10801.377
Pipelined HD,805306368,3221225472,297260.295,9590.515,288529.000,348892.000,10836.380
Pipelined HD,1610612736,6442450944,586109.700,10155.077,575469.000,623092.000,10991.886
Classic HD,384,1536,146.190,3.349,142.000,164.000,10.507
Classic HD,768,3072,146.045,3.565,141.000,162.000,21.035
Classic HD,1536,6144,146.575,2.698,142.000,160.000,41.917
Classic HD,3072,12288,149.650,3.969,145.000,183.000,82.112
Classic HD,6144,24576,155.930,5.452,150.000,207.000,157.609
Classic HD,12288,49152,162.560,2.870,157.000,180.000,302.362
Classic HD,24576,98304,181.530,3.209,178.000,194.000,541.530
Classic HD,49152,196608,210.180,6.794,203.000,287.000,935.427
Classic HD,98304,393216,236.260,16.178,223.000,346.000,1664.336
Classic HD,196608,786432,269.045,9.994,255.000,312.000,2923.050
Classic HD,393216,1572864,1196.965,659.995,770.000,4914.000,1314.043
Classic HD,786432,3145728,1539.035,1649.480,954.000,13315.000,2043.961
Classic HD,1572864,6291456,1845.475,1748.787,1171.000,17836.000,3409.126
Classic HD,3145728,12582912,2585.600,2061.642,1646.000,17395.000,4866.535
Classic HD,6291456,25165824,3895.225,2552.509,2665.000,19565.000,6460.686
Classic HD,12582912,50331648,6199.275,2287.594,4729.000,21731.000,8118.957
Classic HD,25165824,100663296,10938.045,2840.928,9129.000,25105.000,9203.043
